frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	185.382		loss-noreward	ImageDisplay1		0.0		
0	187.622	0.75	loss-noreward	StartDisplay				
0	188.374		loss-noreward	ImageDisplay2		0.0		
0	191.366	1.6	loss-noreward	ChoiceDisplay	1	1.013	1	1
0	192.403	0.587	loss-noreward	ChosenDisplay		0.0		
0	192.971	0.25	loss-noreward	TurnDisplay				
0	193.222	0.75	loss-noreward	OutcomeDisplay				
1	193.974		win-reward	ImageDisplay1		0.0		
1	196.214	0.75	win-reward	StartDisplay				
1	196.966		win-reward	ImageDisplay2		0.0		
1	199.975	1.6	win-reward	ChoiceDisplay	1	0.415	1	1
1	200.41	1.185	win-reward	ChosenDisplay		0.0		
1	201.58	0.25	win-reward	TurnDisplay				
1	201.831	0.75	win-reward	OutcomeDisplay				
2	202.583		control-reward	ImageDisplay1		0.0		
2	204.823	0.75	control-reward	StartDisplay				
2	205.575		control-reward	ImageDisplay2		0.0		
2	208.584	1.6	control-reward	ChoiceDisplay	1	1.01	1	1
2	209.621	0.59	control-reward	ChosenDisplay		0.0		
2	210.189	0.25	control-reward	TurnDisplay				
2	210.44	0.75	control-reward	OutcomeDisplay				
3	211.192		control-noreward	ImageDisplay1		0.0		
3	213.181	0.75	control-noreward	StartDisplay				
3	213.934		control-noreward	ImageDisplay2		0.0		
3	217.193	1.6	control-noreward	ChoiceDisplay	1	1.08	1	1
3	218.297	0.52	control-noreward	ChosenDisplay		0.0		
3	218.798	0.25	control-noreward	TurnDisplay				
3	219.049	0.75	control-noreward	OutcomeDisplay				
4	219.801		control-reward	ImageDisplay1		0.0		
4	221.79	0.75	control-reward	StartDisplay				
4	222.543		control-reward	ImageDisplay2		0.0		
4	225.802	1.6	control-reward	ChoiceDisplay	1	1.224	1	1
4	227.039	0.376	control-reward	ChosenDisplay		0.0		
4	227.407	0.25	control-reward	TurnDisplay				
4	227.658	0.75	control-reward	OutcomeDisplay				
5	228.41		win-reward	ImageDisplay1		0.0		
5	230.399	0.75	win-reward	StartDisplay				
5	231.152		win-reward	ImageDisplay2		0.0		
5	234.411	1.6	win-reward	ChoiceDisplay	1	1.29	1	1
5	235.715	0.31	win-reward	ChosenDisplay		0.0		
5	236.016	0.25	win-reward	TurnDisplay				
5	236.267	0.75	win-reward	OutcomeDisplay				
6	237.019		control-reward	ImageDisplay1		0.0		
6	239.008	0.75	control-reward	StartDisplay				
6	239.761		control-reward	ImageDisplay2		0.0		
6	243.02	1.6	control-reward	ChoiceDisplay	1	1.513	1	1
6	244.542	0.0	control-reward	ChosenDisplay		0.0		
6	244.625	0.25	control-reward	TurnDisplay				
6	244.792	0.75	control-reward	OutcomeDisplay				
7	245.545		control-reward	ImageDisplay1		0.0		
7	247.534	0.75	control-reward	StartDisplay				
7	248.286		control-reward	ImageDisplay2		0.0		
7	251.546	1.6	control-reward	ChoiceDisplay	1	0.962	1	1
7	252.532	0.638	control-reward	ChosenDisplay		0.0		
7	253.151	0.25	control-reward	TurnDisplay				
7	253.401	0.75	control-reward	OutcomeDisplay				
8	254.154		win-reward	ImageDisplay1		0.0		
8	256.394	0.75	win-reward	StartDisplay				
8	257.146		win-reward	ImageDisplay2		0.0		
8	260.155	1.6	win-reward	ChoiceDisplay	1	0.729	1	1
8	260.907	0.871	win-reward	ChosenDisplay		0.0		
8	261.76	0.25	win-reward	TurnDisplay				
8	262.01	0.75	win-reward	OutcomeDisplay				
9	262.763		loss-reward	ImageDisplay1		0.0		
9	265.003	0.75	loss-reward	StartDisplay				
9	265.755		loss-reward	ImageDisplay2		0.0		
9	268.764	1.6	loss-reward	ChoiceDisplay	1	1.015	1	1
9	269.8	0.585	loss-reward	ChosenDisplay		0.0		
9	270.369	0.25	loss-reward	TurnDisplay				
9	270.619	0.75	loss-reward	OutcomeDisplay				
10	271.372		win-noreward	ImageDisplay1		0.0		
10	273.612	0.75	win-noreward	StartDisplay				
10	274.364		win-noreward	ImageDisplay2		0.0		
10	277.373	1.6	win-noreward	ChoiceDisplay	1	0.991	1	1
10	278.376	0.609	win-noreward	ChosenDisplay		0.0		
10	278.978	0.25	win-noreward	TurnDisplay				
10	279.228	0.75	win-noreward	OutcomeDisplay				
11	279.981		loss-reward	ImageDisplay1		0.0		
11	282.221	0.75	loss-reward	StartDisplay				
11	282.973		loss-reward	ImageDisplay2		0.0		
11	285.982	1.6	loss-reward	ChoiceDisplay	1	1.14	1	1
11	287.135	0.46	loss-reward	ChosenDisplay		0.0		
11	287.587	0.25	loss-reward	TurnDisplay				
11	287.837	0.75	loss-reward	OutcomeDisplay				
12	288.59		loss-reward	ImageDisplay1		0.0		
12	290.83	0.75	loss-reward	StartDisplay				
12	291.582		loss-reward	ImageDisplay2		0.0		
12	294.591	1.6	loss-reward	ChoiceDisplay	1	1.166	1	1
12	295.778	0.434	loss-reward	ChosenDisplay		0.0		
12	296.196	0.25	loss-reward	TurnDisplay				
12	296.447	0.75	loss-reward	OutcomeDisplay				
13	297.199		win-noreward	ImageDisplay1		0.0		
13	299.439	0.75	win-noreward	StartDisplay				
13	300.191		win-noreward	ImageDisplay2		0.0		
13	303.2	1.6	win-noreward	ChoiceDisplay	1	0.995	1	1
13	304.22	0.605	win-noreward	ChosenDisplay		0.0		
13	304.805	0.25	win-noreward	TurnDisplay				
13	305.056	0.75	win-noreward	OutcomeDisplay				
14	305.808		control-reward	ImageDisplay1		0.0		
14	307.797	0.75	control-reward	StartDisplay				
14	308.549		control-reward	ImageDisplay2		0.0		
14	311.809	1.6	control-reward	ChoiceDisplay	1	1.038	1	1
14	312.862	0.562	control-reward	ChosenDisplay		0.0		
14	313.414	0.25	control-reward	TurnDisplay				
14	313.665	0.75	control-reward	OutcomeDisplay				
15	314.417		win-noreward	ImageDisplay1		0.0		
15	316.657	0.75	win-noreward	StartDisplay				
15	317.409		win-noreward	ImageDisplay2		0.0		
15	320.418	1.6	win-noreward	ChoiceDisplay	1	0.898	1	1
15	321.338	0.702	win-noreward	ChosenDisplay		0.0		
15	322.023	0.25	win-noreward	TurnDisplay				
15	322.274	0.75	win-noreward	OutcomeDisplay				
16	323.026		loss-reward	ImageDisplay1		0.0		
16	325.266	0.75	loss-reward	StartDisplay				
16	326.018		loss-reward	ImageDisplay2		0.0		
16	329.027	1.6	loss-reward	ChoiceDisplay	1	0.674	1	1
16	329.713	0.926	loss-reward	ChosenDisplay		0.0		
16	330.632	0.25	loss-reward	TurnDisplay				
16	330.883	0.75	loss-reward	OutcomeDisplay				
17	331.635		loss-reward	ImageDisplay1		0.0		
17	333.624	0.75	loss-reward	StartDisplay				
17	334.376		loss-reward	ImageDisplay2		0.0		
17	337.636	1.6	loss-reward	ChoiceDisplay	1	0.85	1	1
17	338.505	0.75	loss-reward	ChosenDisplay		0.0		
17	339.241	0.25	loss-reward	TurnDisplay				
17	339.492	0.75	loss-reward	OutcomeDisplay				
18	340.244		control-noreward	ImageDisplay1		0.0		
18	342.484	0.75	control-noreward	StartDisplay				
18	343.236		control-noreward	ImageDisplay2		0.0		
18	346.245	1.6	control-noreward	ChoiceDisplay	1	0.732	1	1
18	346.997	0.868	control-noreward	ChosenDisplay		0.0		
18	347.85	0.25	control-noreward	TurnDisplay				
18	348.101	0.75	control-noreward	OutcomeDisplay				
19	348.853		loss-reward	ImageDisplay1		0.0		
19	351.093	0.75	loss-reward	StartDisplay				
19	351.845		loss-reward	ImageDisplay2		0.0		
19	354.854	1.6	loss-reward	ChoiceDisplay	1	0.703	1	1
19	355.573	0.897	loss-reward	ChosenDisplay		0.0		
19	356.459	0.25	loss-reward	TurnDisplay				
19	356.71	0.75	loss-reward	OutcomeDisplay				
20	357.462		control-noreward	ImageDisplay1		0.0		
20	359.451	0.75	control-noreward	StartDisplay				
20	360.204		control-noreward	ImageDisplay2		0.0		
20	363.463	1.6	control-noreward	ChoiceDisplay	1	0.746	1	1
20	364.232	0.854	control-noreward	ChosenDisplay		0.0		
20	365.068	0.25	control-noreward	TurnDisplay				
20	365.319	0.75	control-noreward	OutcomeDisplay				
21	366.071		win-noreward	ImageDisplay1		0.0		
21	368.311	0.75	win-noreward	StartDisplay				
21	369.063		win-noreward	ImageDisplay2		0.0		
21	372.072	1.6	win-noreward	ChoiceDisplay	1	0.791	1	1
21	372.875	0.809	win-noreward	ChosenDisplay		0.0		
21	373.677	0.25	win-noreward	TurnDisplay				
21	373.928	0.75	win-noreward	OutcomeDisplay				
22	374.68		win-reward	ImageDisplay1		0.0		
22	376.669	0.75	win-reward	StartDisplay				
22	377.422		win-reward	ImageDisplay2		0.0		
