frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	74.398		control-reward	ImageDisplay1		0.0		
0	76.621	0.75	control-reward	StartDisplay				
0	77.374		control-reward	ImageDisplay2		0.0		
0	80.382	1.6	control-reward	ChoiceDisplay	1	0.911	1	1
0	81.319	0.689	control-reward	ChosenDisplay		0.0		
0	81.987	0.25	control-reward	TurnDisplay				
0	82.238	0.75	control-reward	OutcomeDisplay				
1	82.99		control-reward	ImageDisplay1		0.0		
1	84.98	0.75	control-reward	StartDisplay				
1	85.732		control-reward	ImageDisplay2		0.0		
1	88.992	1.6	control-reward	ChoiceDisplay	1	0.938	1	1
1	89.944	0.662	control-reward	ChosenDisplay		0.0		
1	90.596	0.25	control-reward	TurnDisplay				
1	90.847	0.75	control-reward	OutcomeDisplay				
2	91.599		win-noreward	ImageDisplay1		0.0		
2	93.839	0.75	win-noreward	StartDisplay				
2	94.592		win-noreward	ImageDisplay2		0.0		
2	97.601	1.6	win-noreward	ChoiceDisplay	1	1.037	1	1
2	98.654	0.563	win-noreward	ChosenDisplay		0.0		
2	99.205	0.25	win-noreward	TurnDisplay				
2	99.456	0.75	win-noreward	OutcomeDisplay				
3	100.208		loss-noreward	ImageDisplay1		0.0		
3	102.198	0.75	loss-noreward	StartDisplay				
3	102.95		loss-noreward	ImageDisplay2		0.0		
3	106.21	1.6	loss-noreward	ChoiceDisplay	1	1.199	1	1
3	107.43	0.401	loss-noreward	ChosenDisplay		0.0		
3	107.815	0.25	loss-noreward	TurnDisplay				
3	108.065	0.75	loss-noreward	OutcomeDisplay				
4	108.818		loss-reward	ImageDisplay1		0.0		
4	110.807	0.75	loss-reward	StartDisplay				
4	111.559		loss-reward	ImageDisplay2		0.0		
4	114.819	1.6	loss-reward	ChoiceDisplay	1	0.893	1	1
4	115.738	0.707	loss-reward	ChosenDisplay		0.0		
4	116.424	0.25	loss-reward	TurnDisplay				
4	116.674	0.75	loss-reward	OutcomeDisplay				
5	117.427		control-reward	ImageDisplay1		0.0		
5	119.667	0.75	control-reward	StartDisplay				
5	120.419		control-reward	ImageDisplay2		0.0		
5	123.428	1.6	control-reward	ChoiceDisplay	1	0.895	1	1
5	124.347	0.705	control-reward	ChosenDisplay		0.0		
5	125.033	0.25	control-reward	TurnDisplay				
5	125.284	0.75	control-reward	OutcomeDisplay				
6	126.036		loss-reward	ImageDisplay1		0.0		
6	128.276	0.75	loss-reward	StartDisplay				
6	129.028		loss-reward	ImageDisplay2		0.0		
6	132.037	1.6	loss-reward	ChoiceDisplay	1	0.864	1	1
6	132.923	0.736	loss-reward	ChosenDisplay		0.0		
6	133.642	0.25	loss-reward	TurnDisplay				
6	133.909	0.75	loss-reward	OutcomeDisplay				
7	134.645		win-noreward	ImageDisplay1		0.0		
7	136.634	0.75	win-noreward	StartDisplay				
7	137.403		win-noreward	ImageDisplay2		0.0		
7	140.646	1.6	win-noreward	ChoiceDisplay	1	0.881	1	1
7	141.549	0.719	win-noreward	ChosenDisplay		0.0		
7	142.251	0.25	win-noreward	TurnDisplay				
7	142.502	0.75	win-noreward	OutcomeDisplay				
8	143.254		win-noreward	ImageDisplay1		0.0		
