frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	68.261		loss-noreward	ImageDisplay1		0.0		
0	70.501	0.75	loss-noreward	StartDisplay				
0	71.254		loss-noreward	ImageDisplay2		0.0		
0	74.246	1.6	loss-noreward	ChoiceDisplay	1	0.759	1	1
0	75.032	0.841	loss-noreward	ChosenDisplay		0.0		
0	75.851	0.25	loss-noreward	TurnDisplay				
0	76.101	0.75	loss-noreward	OutcomeDisplay				
1	76.854		control-reward	ImageDisplay1		0.0		
1	79.094	0.75	control-reward	StartDisplay				
1	79.846		control-reward	ImageDisplay2		0.0		
1	82.855	1.6	control-reward	ChoiceDisplay	1	1.013	1	1
1	83.891	0.587	control-reward	ChosenDisplay		0.0		
1	84.46	0.25	control-reward	TurnDisplay				
1	84.71	0.75	control-reward	OutcomeDisplay				
2	85.463		win-noreward	ImageDisplay1		0.0		
2	87.703	0.75	win-noreward	StartDisplay				
2	88.455		win-noreward	ImageDisplay2		0.0		
2	91.464	1.6	win-noreward	ChoiceDisplay	1	0.913	1	1
2	92.4	0.687	win-noreward	ChosenDisplay		0.0		
2	93.069	0.25	win-noreward	TurnDisplay				
2	93.319	0.75	win-noreward	OutcomeDisplay				
3	94.072		control-reward	ImageDisplay1		0.0		
3	96.312	0.75	control-reward	StartDisplay				
3	97.064		control-reward	ImageDisplay2		0.0		
3	100.073	1.6	control-reward	ChoiceDisplay	1	0.833	1	1
3	100.925	0.767	control-reward	ChosenDisplay		0.0		
3	101.678	0.25	control-reward	TurnDisplay				
3	101.928	0.75	control-reward	OutcomeDisplay				
4	102.681		loss-reward	ImageDisplay1		0.0		
4	104.67	0.75	loss-reward	StartDisplay				
4	105.422		loss-reward	ImageDisplay2		0.0		
4	108.682	1.6	loss-reward	ChoiceDisplay	1	0.925	1	1
4	109.618	0.675	loss-reward	ChosenDisplay		0.0		
4	110.287	0.25	loss-reward	TurnDisplay				
4	110.537	0.75	loss-reward	OutcomeDisplay				
5	111.29		control-noreward	ImageDisplay1		0.0		
5	113.279	0.75	control-noreward	StartDisplay				
5	114.031		control-noreward	ImageDisplay2		0.0		
5	117.291	1.6	control-noreward	ChoiceDisplay	1	0.758	1	1
5	118.06	0.842	control-noreward	ChosenDisplay		0.0		
5	118.896	0.25	control-noreward	TurnDisplay				
5	119.146	0.75	control-noreward	OutcomeDisplay				
6	119.899		win-reward	ImageDisplay1		0.0		
6	122.139	0.75	win-reward	StartDisplay				
6	122.891		win-reward	ImageDisplay2		0.0		
6	125.9	1.6	win-reward	ChoiceDisplay	1	0.954	1	1
6	126.869	0.646	win-reward	ChosenDisplay		0.0		
6	127.505	0.25	win-reward	TurnDisplay				
6	127.755	0.75	win-reward	OutcomeDisplay				
7	128.508		win-reward	ImageDisplay1		0.0		
7	130.748	0.75	win-reward	StartDisplay				
7	131.5		win-reward	ImageDisplay2		0.0		
7	134.509	1.6	win-reward	ChoiceDisplay	1	0.902	1	1
7	135.428	0.698	win-reward	ChosenDisplay		0.0		
7	136.114	0.25	win-reward	TurnDisplay				
7	136.364	0.75	win-reward	OutcomeDisplay				
8	137.117		loss-reward	ImageDisplay1		0.0		
8	139.106	0.75	loss-reward	StartDisplay				
8	139.858		loss-reward	ImageDisplay2		0.0		
8	143.118	1.6	loss-reward	ChoiceDisplay	1	0.953	1	1
8	144.087	0.647	loss-reward	ChosenDisplay		0.0		
8	144.723	0.25	loss-reward	TurnDisplay				
8	144.973	0.75	loss-reward	OutcomeDisplay				
9	145.726		win-reward	ImageDisplay1		0.0		
9	147.966	0.75	win-reward	StartDisplay				
9	148.718		win-reward	ImageDisplay2		0.0		
9	151.727	1.6	win-reward	ChoiceDisplay	1	0.831	1	1
9	152.579	0.769	win-reward	ChosenDisplay		0.0		
9	153.332	0.25	win-reward	TurnDisplay				
9	153.582	0.75	win-reward	OutcomeDisplay				
10	154.335		control-reward	ImageDisplay1		0.0		
10	156.324	0.75	control-reward	StartDisplay				
10	157.076		control-reward	ImageDisplay2		0.0		
10	160.336	1.6	control-reward	ChoiceDisplay	1	0.888	1	1
