frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	74.506		loss-noreward	ImageDisplay1		0.0		
0	76.496	0.75	loss-noreward	StartDisplay				
0	77.248		loss-noreward	ImageDisplay2		0.0		
0	80.491	1.6	loss-noreward	ChoiceDisplay	1	0.629	1	1
0	81.143	0.971	loss-noreward	ChosenDisplay		0.0		
0	82.096	0.25	loss-noreward	TurnDisplay				
0	82.347	0.75	loss-noreward	OutcomeDisplay				
1	83.099		win-noreward	ImageDisplay1		0.0		
1	85.339	0.75	win-noreward	StartDisplay				
1	86.091		win-noreward	ImageDisplay2		0.0		
1	89.1	1.6	win-noreward	ChoiceDisplay	1	0.916	1	1
1	90.036	0.684	win-noreward	ChosenDisplay		0.0		
1	90.705	0.25	win-noreward	TurnDisplay				
1	90.956	0.75	win-noreward	OutcomeDisplay				
2	91.708		control-reward	ImageDisplay1		0.0		
2	93.697	0.75	control-reward	StartDisplay				
2	94.449		control-reward	ImageDisplay2		0.0		
2	97.709	1.6	control-reward	ChoiceDisplay	1	0.891	1	1
2	98.612	0.709	control-reward	ChosenDisplay		0.0		
2	99.314	0.25	control-reward	TurnDisplay				
2	99.565	0.75	control-reward	OutcomeDisplay				
3	100.317		win-noreward	ImageDisplay1		0.0		
3	102.306	0.75	win-noreward	StartDisplay				
3	103.058		win-noreward	ImageDisplay2		0.0		
3	106.318	1.6	win-noreward	ChoiceDisplay	1	1.334	1	1
3	107.672	0.266	win-noreward	ChosenDisplay		0.0		
3	107.923	0.25	win-noreward	TurnDisplay				
3	108.174	0.75	win-noreward	OutcomeDisplay				
4	108.926		loss-noreward	ImageDisplay1		0.0		
4	110.915	0.75	loss-noreward	StartDisplay				
4	111.668		loss-noreward	ImageDisplay2		0.0		
4	114.927	1.6	loss-noreward	ChoiceDisplay	1	0.953	1	1
4	115.897	0.647	loss-noreward	ChosenDisplay		0.0		
4	116.532	0.25	loss-noreward	TurnDisplay				
4	116.783	0.75	loss-noreward	OutcomeDisplay				
5	117.535		win-noreward	ImageDisplay1		0.0		
5	119.775	0.75	win-noreward	StartDisplay				
5	120.527		win-noreward	ImageDisplay2		0.0		
5	123.536	1.6	win-noreward	ChoiceDisplay	1	1.537	1	1
5	125.091	0.0	win-noreward	ChosenDisplay		0.0		
5	125.141	0.25	win-noreward	TurnDisplay				
5	125.325	0.75	win-noreward	OutcomeDisplay				
6	126.077		loss-reward	ImageDisplay1		0.0		
6	128.334	0.75	loss-reward	StartDisplay				
6	129.07		loss-reward	ImageDisplay2		0.0		
6	132.079	1.6	loss-reward	ChoiceDisplay	1	1.067	1	1
6	133.165	0.533	loss-reward	ChosenDisplay		0.0		
6	133.683	0.25	loss-reward	TurnDisplay				
6	133.934	0.75	loss-reward	OutcomeDisplay				
7	134.686		win-reward	ImageDisplay1		0.0		
7	136.676	0.75	win-reward	StartDisplay				
7	137.428		win-reward	ImageDisplay2		0.0		
7	140.688	1.6	win-reward	ChoiceDisplay	1	0.864	1	1
7	141.574	0.736	win-reward	ChosenDisplay		0.0		
7	142.292	0.25	win-reward	TurnDisplay				
7	142.543	0.75	win-reward	OutcomeDisplay				
8	143.295		control-reward	ImageDisplay1		0.0		
8	145.285	0.75	control-reward	StartDisplay				
8	146.037		control-reward	ImageDisplay2		0.0		
8	149.297	1.6	control-reward	ChoiceDisplay	1	0.774	1	1
8	150.082	0.826	control-reward	ChosenDisplay		0.0		
8	150.902	0.25	control-reward	TurnDisplay				
8	151.152	0.75	control-reward	OutcomeDisplay				
9	151.905		control-noreward	ImageDisplay1		0.0		
9	154.145	0.75	control-noreward	StartDisplay				
9	154.897		control-noreward	ImageDisplay2		0.0		
9	157.906	1.6	control-noreward	ChoiceDisplay	1	0.69	1	1
9	158.608	0.91	control-noreward	ChosenDisplay		0.0		
9	159.511	0.25	control-noreward	TurnDisplay				
9	159.761	0.75	control-noreward	OutcomeDisplay				
10	160.514		control-noreward	ImageDisplay1		0.0		
10	162.754	0.75	control-noreward	StartDisplay				
10	163.506		control-noreward	ImageDisplay2		0.0		
10	166.515	1.6	control-noreward	ChoiceDisplay	1	0.638	1	1
10	167.167	0.962	control-noreward	ChosenDisplay		0.0		
10	168.12	0.25	control-noreward	TurnDisplay				
10	168.37	0.75	control-noreward	OutcomeDisplay				
11	169.123		loss-noreward	ImageDisplay1		0.0		
11	171.112	0.75	loss-noreward	StartDisplay				
11	171.864		loss-noreward	ImageDisplay2		0.0		
11	175.124	1.6	loss-noreward	ChoiceDisplay	1	0.695	1	1
11	175.843	0.905	loss-noreward	ChosenDisplay		0.0		
11	176.729	0.25	loss-noreward	TurnDisplay				
11	176.98	0.75	loss-noreward	OutcomeDisplay				
12	177.732		win-noreward	ImageDisplay1		0.0		
12	179.972	0.75	win-noreward	StartDisplay				
12	180.724		win-noreward	ImageDisplay2		0.0		
12	183.733	1.6	win-noreward	ChoiceDisplay	1	0.873	1	1
12	184.619	0.727	win-noreward	ChosenDisplay		0.0		
12	185.338	0.25	win-noreward	TurnDisplay				
12	185.589	0.75	win-noreward	OutcomeDisplay				
13	186.341		win-reward	ImageDisplay1		0.0		
13	188.581	0.75	win-reward	StartDisplay				
13	189.333		win-reward	ImageDisplay2		0.0		
13	192.342	1.6	win-reward	ChoiceDisplay	1	0.554	1	1
13	192.91	1.046	win-reward	ChosenDisplay		0.0		
13	193.947	0.25	win-reward	TurnDisplay				
13	194.198	0.75	win-reward	OutcomeDisplay				
14	194.95		win-reward	ImageDisplay1		0.0		
14	197.19	0.75	win-reward	StartDisplay				
14	197.942		win-reward	ImageDisplay2		0.0		
14	200.951	1.6	win-reward	ChoiceDisplay	1	1.026	1	1
14	202.004	0.574	win-reward	ChosenDisplay		0.0		
14	202.556	0.25	win-reward	TurnDisplay				
14	202.807	0.75	win-reward	OutcomeDisplay				
15	203.559		control-noreward	ImageDisplay1		0.0		
15	205.799	0.75	control-noreward	StartDisplay				
15	206.551		control-noreward	ImageDisplay2		0.0		
15	209.56	1.6	control-noreward	ChoiceDisplay	1	0.692	1	1
15	210.279	0.908	control-noreward	ChosenDisplay		0.0		
15	211.165	0.25	control-noreward	TurnDisplay				
15	211.416	0.75	control-noreward	OutcomeDisplay				
16	212.168		win-reward	ImageDisplay1		0.0		
16	214.408	0.75	win-reward	StartDisplay				
16	215.16		win-reward	ImageDisplay2		0.0		
16	218.169	1.6	win-reward	ChoiceDisplay	1	0.686	1	1
16	218.871	0.914	win-reward	ChosenDisplay		0.0		
16	219.774	0.25	win-reward	TurnDisplay				
16	220.025	0.75	win-reward	OutcomeDisplay				
17	220.777		control-reward	ImageDisplay1		0.0		
17	223.017	0.75	control-reward	StartDisplay				
17	223.769		control-reward	ImageDisplay2		0.0		
17	226.778	1.6	control-reward	ChoiceDisplay	1	0.679	1	1
17	227.481	0.921	control-reward	ChosenDisplay		0.0		
17	228.383	0.25	control-reward	TurnDisplay				
17	228.634	0.75	control-reward	OutcomeDisplay				
18	229.386		control-reward	ImageDisplay1		0.0		
18	231.626	0.75	control-reward	StartDisplay				
18	232.378		control-reward	ImageDisplay2		0.0		
18	235.387	1.6	control-reward	ChoiceDisplay	1	0.886	1	1
18	236.29	0.714	control-reward	ChosenDisplay		0.0		
18	236.992	0.25	control-reward	TurnDisplay				
18	237.243	0.75	control-reward	OutcomeDisplay				
19	237.995		win-reward	ImageDisplay1		0.0		
19	240.235	0.75	win-reward	StartDisplay				
19	240.988		win-reward	ImageDisplay2		0.0		
19	243.997	1.6	win-reward	ChoiceDisplay	1	0.295	1	1
19	244.314	1.305	win-reward	ChosenDisplay		0.0		
19	245.601	0.25	win-reward	TurnDisplay				
19	245.852	0.75	win-reward	OutcomeDisplay				
20	246.604		control-noreward	ImageDisplay1		0.0		
20	248.594	0.75	control-noreward	StartDisplay				
20	249.346		control-noreward	ImageDisplay2		0.0		
20	252.606	1.6	control-noreward	ChoiceDisplay	1	0.584	1	1
20	253.207	1.016	control-noreward	ChosenDisplay		0.0		
20	254.21	0.25	control-noreward	TurnDisplay				
20	254.461	0.75	control-noreward	OutcomeDisplay				
21	255.213		win-noreward	ImageDisplay1		0.0		
21	257.203	0.75	win-noreward	StartDisplay				
21	257.955		win-noreward	ImageDisplay2		0.0		
21	261.215	1.6	win-noreward	ChoiceDisplay	1	0.614	1	1
21	261.85	0.986	win-noreward	ChosenDisplay		0.0		
21	262.819	0.25	win-noreward	TurnDisplay				
21	263.07	0.75	win-noreward	OutcomeDisplay				
22	263.822		loss-noreward	ImageDisplay1		0.0		
22	265.812	0.75	loss-noreward	StartDisplay				
22	266.564		loss-noreward	ImageDisplay2		0.0		
22	269.824	1.6	loss-noreward	ChoiceDisplay	1	0.757	1	1
22	270.593	0.843	loss-noreward	ChosenDisplay		0.0		
22	271.429	0.25	loss-noreward	TurnDisplay				
22	271.679	0.75	loss-noreward	OutcomeDisplay				
23	272.432		loss-noreward	ImageDisplay1		0.0		
23	274.672	0.75	loss-noreward	StartDisplay				
23	275.424		loss-noreward	ImageDisplay2		0.0		
23	278.433	1.6	loss-noreward	ChoiceDisplay	1	0.499	1	1
23	278.951	1.101	loss-noreward	ChosenDisplay		0.0		
23	280.038	0.25	loss-noreward	TurnDisplay				
23	280.288	0.75	loss-noreward	OutcomeDisplay				
24	281.041		control-reward	ImageDisplay1		0.0		
24	283.281	0.75	control-reward	StartDisplay				
24	284.033		control-reward	ImageDisplay2		0.0		
24	287.042	1.6	control-reward	ChoiceDisplay	1	0.603	1	1
24	287.66	0.997	control-reward	ChosenDisplay		0.0		
24	288.647	0.25	control-reward	TurnDisplay				
24	288.897	0.75	control-reward	OutcomeDisplay				
25	289.65		control-reward	ImageDisplay1		0.0		
25	291.639	0.75	control-reward	StartDisplay				
25	292.391		control-reward	ImageDisplay2		0.0		
25	295.651	1.6	control-reward	ChoiceDisplay	1	0.407	1	1
25	296.086	1.193	control-reward	ChosenDisplay		0.0		
25	297.256	0.25	control-reward	TurnDisplay				
25	297.507	0.75	control-reward	OutcomeDisplay				
26	298.259		win-reward	ImageDisplay1		0.0		
26	300.499	0.75	win-reward	StartDisplay				
26	301.251		win-reward	ImageDisplay2		0.0		
26	304.26	1.6	win-reward	ChoiceDisplay	1	0.79	1	1
26	305.062	0.81	win-reward	ChosenDisplay		0.0		
26	305.865	0.25	win-reward	TurnDisplay				
26	306.116	0.75	win-reward	OutcomeDisplay				
27	306.868		control-reward	ImageDisplay1		0.0		
27	308.857	0.75	control-reward	StartDisplay				
27	309.609		control-reward	ImageDisplay2		0.0		
27	312.869	1.6	control-reward	ChoiceDisplay	1	0.665	1	1
27	313.555	0.935	control-reward	ChosenDisplay		0.0		
27	314.474	0.25	control-reward	TurnDisplay				
27	314.725	0.75	control-reward	OutcomeDisplay				
28	315.477		control-reward	ImageDisplay1		0.0		
28	317.717	0.75	control-reward	StartDisplay				
28	318.469		control-reward	ImageDisplay2		0.0		
28	321.478	1.6	control-reward	ChoiceDisplay	1	0.703	1	1
28	322.197	0.897	control-reward	ChosenDisplay		0.0		
28	323.083	0.25	control-reward	TurnDisplay				
28	323.334	0.75	control-reward	OutcomeDisplay				
29	324.086		win-noreward	ImageDisplay1		0.0		
29	326.326	0.75	win-noreward	StartDisplay				
29	327.078		win-noreward	ImageDisplay2		0.0		
29	330.087	1.6	win-noreward	ChoiceDisplay	1	0.8	1	1
29	330.906	0.8	win-noreward	ChosenDisplay		0.0		
29	331.692	0.25	win-noreward	TurnDisplay				
29	331.943	0.75	win-noreward	OutcomeDisplay				
30	332.695		loss-reward	ImageDisplay1		0.0		
30	334.935	0.75	loss-reward	StartDisplay				
30	335.687		loss-reward	ImageDisplay2		0.0		
30	338.696	1.6	loss-reward	ChoiceDisplay	1	0.543	1	1
30	339.265	1.057	loss-reward	ChosenDisplay		0.0		
30	340.301	0.25	loss-reward	TurnDisplay				
30	340.552	0.75	loss-reward	OutcomeDisplay				
31	341.304		win-reward	ImageDisplay1		0.0		
31	343.293	0.75	win-reward	StartDisplay				
31	344.046		win-reward	ImageDisplay2		0.0		
31	347.305	1.6	win-reward	ChoiceDisplay	1	0.575	1	1
31	347.907	1.025	win-reward	ChosenDisplay		0.0		
31	348.91	0.25	win-reward	TurnDisplay				
31	349.161	0.75	win-reward	OutcomeDisplay				
32	349.913		loss-reward	ImageDisplay1		0.0		
32	352.153	0.75	loss-reward	StartDisplay				
32	352.906		loss-reward	ImageDisplay2		0.0		
32	355.915	1.6	loss-reward	ChoiceDisplay	1	0.748	1	1
32	356.683	0.852	loss-reward	ChosenDisplay		0.0		
32	357.519	0.25	loss-reward	TurnDisplay				
32	357.77	0.75	loss-reward	OutcomeDisplay				
33	358.522		loss-reward	ImageDisplay1		0.0		
33	360.762	0.75	loss-reward	StartDisplay				
33	361.515		loss-reward	ImageDisplay2		0.0		
33	364.524	1.6	loss-reward	ChoiceDisplay	1	0.709	1	1
33	365.259	0.891	loss-reward	ChosenDisplay		0.0		
33	366.128	0.25	loss-reward	TurnDisplay				
33	366.379	0.75	loss-reward	OutcomeDisplay				
34	367.131		control-noreward	ImageDisplay1		0.0		
34	369.371	0.75	control-noreward	StartDisplay				
34	370.124		control-noreward	ImageDisplay2		0.0		
34	373.133	1.6	control-noreward	ChoiceDisplay		0.0		
34	374.721	0.0	control-noreward	ChosenDisplay		0.0		
34	374.737	0.25	control-noreward	TurnDisplay				
34	374.971	0.75	control-noreward	OutcomeDisplay				
35	375.724		control-reward	ImageDisplay1		0.0		
35	377.98	0.75	control-reward	StartDisplay				
35	378.733		control-reward	ImageDisplay2		0.0		
35	381.725	1.6	control-reward	ChoiceDisplay	1	0.633	1	1
35	382.377	0.967	control-reward	ChosenDisplay		0.0		
35	383.33	0.25	control-reward	TurnDisplay				
35	383.581	0.75	control-reward	OutcomeDisplay				
