frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	59.15		win-reward	ImageDisplay1		0.0		
0	61.373	0.75	win-reward	StartDisplay				
0	62.126		win-reward	ImageDisplay2		0.0		
0	65.135	1.6	win-reward	ChoiceDisplay	1	1.021	1	1
0	66.171	0.579	win-reward	ChosenDisplay		0.0		
0	66.739	0.25	win-reward	TurnDisplay				
0	66.99	0.75	win-reward	OutcomeDisplay				
1	67.742		loss-reward	ImageDisplay1		0.0		
1	69.732	0.75	loss-reward	StartDisplay				
1	70.484		loss-reward	ImageDisplay2		0.0		
1	73.743	1.6	loss-reward	ChoiceDisplay	1	1.035	1	1
1	74.797	0.565	loss-reward	ChosenDisplay		0.0		
1	75.348	0.25	loss-reward	TurnDisplay				
1	75.599	0.75	loss-reward	OutcomeDisplay				
2	76.351		loss-noreward	ImageDisplay1		0.0		
2	78.34	0.75	loss-noreward	StartDisplay				
2	79.093		loss-noreward	ImageDisplay2		0.0		
2	82.352	1.6	loss-noreward	ChoiceDisplay	1	1.156	1	1
2	83.522	0.444	loss-noreward	ChosenDisplay		0.0		
2	83.957	0.25	loss-noreward	TurnDisplay				
2	84.208	0.75	loss-noreward	OutcomeDisplay				
3	84.96		loss-reward	ImageDisplay1		0.0		
3	87.2	0.75	loss-reward	StartDisplay				
3	87.952		loss-reward	ImageDisplay2		0.0		
3	90.961	1.6	loss-reward	ChoiceDisplay	1	0.964	1	1
3	91.947	0.636	loss-reward	ChosenDisplay		0.0		
3	92.566	0.25	loss-reward	TurnDisplay				
3	92.817	0.75	loss-reward	OutcomeDisplay				
4	93.569		loss-reward	ImageDisplay1		0.0		
4	95.558	0.75	loss-reward	StartDisplay				
4	96.31		loss-reward	ImageDisplay2		0.0		
4	99.57	1.6	loss-reward	ChoiceDisplay	1	0.839	1	1
4	100.423	0.761	loss-reward	ChosenDisplay		0.0		
4	101.175	0.25	loss-reward	TurnDisplay				
4	101.426	0.75	loss-reward	OutcomeDisplay				
5	102.178		control-reward	ImageDisplay1		0.0		
5	104.167	0.75	control-reward	StartDisplay				
5	104.919		control-reward	ImageDisplay2		0.0		
5	108.179	1.6	control-reward	ChoiceDisplay	1	0.877	1	1
5	109.082	0.723	control-reward	ChosenDisplay		0.0		
5	109.784	0.25	control-reward	TurnDisplay				
5	110.035	0.75	control-reward	OutcomeDisplay				
6	110.787		control-reward	ImageDisplay1		0.0		
6	112.776	0.75	control-reward	StartDisplay				
6	113.528		control-reward	ImageDisplay2		0.0		
6	116.788	1.6	control-reward	ChoiceDisplay	1	0.997	1	1
6	117.808	0.603	control-reward	ChosenDisplay		0.0		
6	118.393	0.25	control-reward	TurnDisplay				
6	118.643	0.75	control-reward	OutcomeDisplay				
7	119.396		loss-reward	ImageDisplay1		0.0		
7	121.636	0.75	loss-reward	StartDisplay				
7	122.388		loss-reward	ImageDisplay2		0.0		
7	125.397	1.6	loss-reward	ChoiceDisplay	1	0.871	1	1
7	126.283	0.729	loss-reward	ChosenDisplay		0.0		
7	127.002	0.25	loss-reward	TurnDisplay				
7	127.252	0.75	loss-reward	OutcomeDisplay				
8	128.005		loss-noreward	ImageDisplay1		0.0		
8	129.994	0.75	loss-noreward	StartDisplay				
