frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	74.213		control-noreward	ImageDisplay1		0.0		
0	76.447	0.75	control-noreward	StartDisplay				
0	77.196		control-noreward	ImageDisplay2		0.0		
0	80.196	1.6	control-noreward	ChoiceDisplay	1	0.94	1	1
0	81.163	0.66	control-noreward	ChosenDisplay		0.0		
0	81.796	0.25	control-noreward	TurnDisplay				
0	82.046	0.75	control-noreward	OutcomeDisplay				
1	82.796		win-reward	ImageDisplay1		0.0		
1	84.796	0.75	win-reward	StartDisplay				
1	85.546		win-reward	ImageDisplay2		0.0		
1	88.796	1.6	win-reward	ChoiceDisplay	1	1.593	1	1
1	90.396	0.0	win-reward	ChosenDisplay		0.0		
1	90.413	0.25	win-reward	TurnDisplay				
1	90.646	0.75	win-reward	OutcomeDisplay				
2	91.396		control-noreward	ImageDisplay1		0.0		
2	93.646	0.75	control-noreward	StartDisplay				
2	94.396		control-noreward	ImageDisplay2		0.0		
2	97.396	1.6	control-noreward	ChoiceDisplay	1	0.603	1	1
2	98.013	0.997	control-noreward	ChosenDisplay		0.0		
2	98.996	0.25	control-noreward	TurnDisplay				
2	99.246	0.75	control-noreward	OutcomeDisplay				
3	99.996		loss-reward	ImageDisplay1		0.0		
3	101.996	0.75	loss-reward	StartDisplay				
3	102.746		loss-reward	ImageDisplay2		0.0		
3	105.996	1.6	loss-reward	ChoiceDisplay	1	0.302	1	1
3	106.312	1.298	loss-reward	ChosenDisplay		0.0		
3	107.596	0.25	loss-reward	TurnDisplay				
3	107.846	0.75	loss-reward	OutcomeDisplay				
4	108.596		control-noreward	ImageDisplay1		0.0		
4	110.596	0.75	control-noreward	StartDisplay				
4	111.346		control-noreward	ImageDisplay2		0.0		
4	114.596	1.6	control-noreward	ChoiceDisplay	1	0.554	1	1
4	115.162	1.046	control-noreward	ChosenDisplay		0.0		
4	116.196	0.25	control-noreward	TurnDisplay				
4	116.446	0.75	control-noreward	OutcomeDisplay				
5	117.196		win-noreward	ImageDisplay1		0.0		
5	119.195	0.75	win-noreward	StartDisplay				
5	119.945		win-noreward	ImageDisplay2		0.0		
5	123.195	1.6	win-noreward	ChoiceDisplay	1	0.741	1	1
5	123.962	0.859	win-noreward	ChosenDisplay		0.0		
5	124.795	0.25	win-noreward	TurnDisplay				
5	125.045	0.75	win-noreward	OutcomeDisplay				
6	125.795		loss-reward	ImageDisplay1		0.0		
6	128.045	0.75	loss-reward	StartDisplay				
6	128.795		loss-reward	ImageDisplay2		0.0		
6	131.795	1.6	loss-reward	ChoiceDisplay	1	0.972	1	1
6	132.779	0.628	loss-reward	ChosenDisplay		0.0		
6	133.395	0.25	loss-reward	TurnDisplay				
6	133.645	0.75	loss-reward	OutcomeDisplay				
7	134.395		control-reward	ImageDisplay1		0.0		
7	136.645	0.75	control-reward	StartDisplay				
7	137.395		control-reward	ImageDisplay2		0.0		
7	140.395	1.6	control-reward	ChoiceDisplay	1	0.795	1	1
7	141.212	0.805	control-reward	ChosenDisplay		0.0		
7	141.995	0.25	control-reward	TurnDisplay				
7	142.245	0.75	control-reward	OutcomeDisplay				
8	142.995		win-reward	ImageDisplay1		0.0		
8	145.245	0.75	win-reward	StartDisplay				
8	145.995		win-reward	ImageDisplay2		0.0		
8	148.995	1.6	win-reward	ChoiceDisplay	1	0.764	1	1
8	149.778	0.836	win-reward	ChosenDisplay		0.0		
8	150.595	0.25	win-reward	TurnDisplay				
8	150.845	0.75	win-reward	OutcomeDisplay				
9	151.595		loss-reward	ImageDisplay1		0.0		
9	153.845	0.75	loss-reward	StartDisplay				
9	154.595		loss-reward	ImageDisplay2		0.0		
9	157.595	1.6	loss-reward	ChoiceDisplay	1	0.856	1	1
9	158.478	0.744	loss-reward	ChosenDisplay		0.0		
9	159.195	0.25	loss-reward	TurnDisplay				
9	159.445	0.75	loss-reward	OutcomeDisplay				
10	160.195		win-reward	ImageDisplay1		0.0		
10	162.195	0.75	win-reward	StartDisplay				
10	162.944		win-reward	ImageDisplay2		0.0		
10	166.194	1.6	win-reward	ChoiceDisplay	1	0.308	1	1
10	166.528	1.292	win-reward	ChosenDisplay		0.0		
10	167.794	0.25	win-reward	TurnDisplay				
10	168.044	0.75	win-reward	OutcomeDisplay				
11	168.794		win-reward	ImageDisplay1		0.0		
11	171.044	0.75	win-reward	StartDisplay				
11	171.794		win-reward	ImageDisplay2		0.0		
11	174.794	1.6	win-reward	ChoiceDisplay	1	0.466	1	1
11	175.278	1.134	win-reward	ChosenDisplay		0.0		
11	176.394	0.25	win-reward	TurnDisplay				
11	176.644	0.75	win-reward	OutcomeDisplay				
12	177.394		loss-reward	ImageDisplay1		0.0		
12	179.394	0.75	loss-reward	StartDisplay				
12	180.144		loss-reward	ImageDisplay2		0.0		
12	183.394	1.6	loss-reward	ChoiceDisplay	1	0.294	1	1
12	183.711	1.306	loss-reward	ChosenDisplay		0.0		
12	184.994	0.25	loss-reward	TurnDisplay				
12	185.244	0.75	loss-reward	OutcomeDisplay				
13	185.994		win-reward	ImageDisplay1		0.0		
13	187.994	0.75	win-reward	StartDisplay				
13	188.744		win-reward	ImageDisplay2		0.0		
13	191.994	1.6	win-reward	ChoiceDisplay	1	0.624	1	1
13	192.644	0.976	win-reward	ChosenDisplay		0.0		
13	193.594	0.25	win-reward	TurnDisplay				
13	193.844	0.75	win-reward	OutcomeDisplay				
14	194.594		control-reward	ImageDisplay1		0.0		
14	196.844	0.75	control-reward	StartDisplay				
14	197.594		control-reward	ImageDisplay2		0.0		
14	200.594	1.6	control-reward	ChoiceDisplay	1	0.463	1	1
14	201.077	1.137	control-reward	ChosenDisplay		0.0		
14	202.194	0.25	control-reward	TurnDisplay				
14	202.444	0.75	control-reward	OutcomeDisplay				
15	203.194		win-reward	ImageDisplay1		0.0		
15	205.444	0.75	win-reward	StartDisplay				
15	206.193		win-reward	ImageDisplay2		0.0		
15	209.193	1.6	win-reward	ChoiceDisplay	1	0.63	1	1
15	209.843	0.97	win-reward	ChosenDisplay		0.0		
15	210.793	0.25	win-reward	TurnDisplay				
15	211.043	0.75	win-reward	OutcomeDisplay				
16	211.793		control-reward	ImageDisplay1		0.0		
16	214.043	0.75	control-reward	StartDisplay				
16	214.793		control-reward	ImageDisplay2		0.0		
16	217.793	1.6	control-reward	ChoiceDisplay	1	0.52	1	1
16	218.327	1.08	control-reward	ChosenDisplay		0.0		
16	219.393	0.25	control-reward	TurnDisplay				
16	219.643	0.75	control-reward	OutcomeDisplay				
17	220.393		win-reward	ImageDisplay1		0.0		
17	222.393	0.75	win-reward	StartDisplay				
17	223.143		win-reward	ImageDisplay2		0.0		
17	226.393	1.6	win-reward	ChoiceDisplay	1	0.614	1	1
17	227.026	0.986	win-reward	ChosenDisplay		0.0		
17	227.993	0.25	win-reward	TurnDisplay				
17	228.243	0.75	win-reward	OutcomeDisplay				
18	228.993		win-reward	ImageDisplay1		0.0		
18	230.993	0.75	win-reward	StartDisplay				
18	231.743		win-reward	ImageDisplay2		0.0		
18	234.993	1.6	win-reward	ChoiceDisplay	1	0.876	1	1
18	235.893	0.724	win-reward	ChosenDisplay		0.0		
18	236.593	0.25	win-reward	TurnDisplay				
18	236.843	0.75	win-reward	OutcomeDisplay				
19	237.593		control-noreward	ImageDisplay1		0.0		
19	239.593	0.75	control-noreward	StartDisplay				
19	240.343		control-noreward	ImageDisplay2		0.0		
19	243.593	1.6	control-noreward	ChoiceDisplay	1	0.811	1	1
19	244.426	0.789	control-noreward	ChosenDisplay		0.0		
19	245.193	0.25	control-noreward	TurnDisplay				
19	245.443	0.75	control-noreward	OutcomeDisplay				
20	246.193		win-reward	ImageDisplay1		0.0		
20	248.192	0.75	win-reward	StartDisplay				
20	248.942		win-reward	ImageDisplay2		0.0		
20	252.192	1.6	win-reward	ChoiceDisplay	1	0.635	1	1
20	252.842	0.965	win-reward	ChosenDisplay		0.0		
20	253.792	0.25	win-reward	TurnDisplay				
20	254.042	0.75	win-reward	OutcomeDisplay				
21	254.792		loss-reward	ImageDisplay1		0.0		
21	257.042	0.75	loss-reward	StartDisplay				
21	257.792		loss-reward	ImageDisplay2		0.0		
21	260.792	1.6	loss-reward	ChoiceDisplay	1	0.31	1	1
21	261.126	1.29	loss-reward	ChosenDisplay		0.0		
21	262.392	0.25	loss-reward	TurnDisplay				
21	262.642	0.75	loss-reward	OutcomeDisplay				
22	263.392		control-noreward	ImageDisplay1		0.0		
22	265.392	0.75	control-noreward	StartDisplay				
22	266.142		control-noreward	ImageDisplay2		0.0		
22	269.392	1.6	control-noreward	ChoiceDisplay	1	0.484	1	1
22	269.892	1.116	control-noreward	ChosenDisplay		0.0		
22	270.992	0.25	control-noreward	TurnDisplay				
22	271.242	0.75	control-noreward	OutcomeDisplay				
23	271.992		control-noreward	ImageDisplay1		0.0		
23	273.992	0.75	control-noreward	StartDisplay				
23	274.742		control-noreward	ImageDisplay2		0.0		
23	277.992	1.6	control-noreward	ChoiceDisplay	1	0.675	1	1
23	278.692	0.925	control-noreward	ChosenDisplay		0.0		
23	279.592	0.25	control-noreward	TurnDisplay				
23	279.842	0.75	control-noreward	OutcomeDisplay				
24	280.592		win-reward	ImageDisplay1		0.0		
24	282.592	0.75	win-reward	StartDisplay				
24	283.342		win-reward	ImageDisplay2		0.0		
24	286.592	1.6	win-reward	ChoiceDisplay		0.0		
24	288.192	0.0	win-reward	ChosenDisplay		0.0		
