frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	76.509		control-reward	ImageDisplay1		0.0		
0	78.481	0.75	control-reward	StartDisplay				
0	79.233		control-reward	ImageDisplay2		0.0		
0	82.493	1.6	control-reward	ChoiceDisplay	1	1.217	1	1
0	83.73	0.383	control-reward	ChosenDisplay		0.0		
0	84.098	0.25	control-reward	TurnDisplay				
0	84.349	0.75	control-reward	OutcomeDisplay				
1	85.101		loss-reward	ImageDisplay1		0.0		
1	87.341	0.75	loss-reward	StartDisplay				
1	88.093		loss-reward	ImageDisplay2		0.0		
1	91.102	1.6	loss-reward	ChoiceDisplay	1	1.068	1	1
1	92.189	0.532	loss-reward	ChosenDisplay		0.0		
1	92.707	0.25	loss-reward	TurnDisplay				
1	92.958	0.75	loss-reward	OutcomeDisplay				
2	93.71		win-reward	ImageDisplay1		0.0		
2	95.95	0.75	win-reward	StartDisplay				
2	96.702		win-reward	ImageDisplay2		0.0		
2	99.711	1.6	win-reward	ChoiceDisplay	1	0.693	1	1
2	100.43	0.907	win-reward	ChosenDisplay		0.0		
2	101.316	0.25	win-reward	TurnDisplay				
2	101.567	0.75	win-reward	OutcomeDisplay				
3	102.319		win-noreward	ImageDisplay1		0.0		
3	104.308	0.75	win-noreward	StartDisplay				
3	105.061		win-noreward	ImageDisplay2		0.0		
3	108.32	1.6	win-noreward	ChoiceDisplay	1	0.986	1	1
3	109.323	0.614	win-noreward	ChosenDisplay		0.0		
3	109.925	0.25	win-noreward	TurnDisplay				
3	110.176	0.75	win-noreward	OutcomeDisplay				
4	110.928		control-noreward	ImageDisplay1		0.0		
4	112.917	0.75	control-noreward	StartDisplay				
4	113.67		control-noreward	ImageDisplay2		0.0		
4	116.929	1.6	control-noreward	ChoiceDisplay	1	0.749	1	1
4	117.698	0.851	control-noreward	ChosenDisplay		0.0		
4	118.534	0.25	control-noreward	TurnDisplay				
4	118.785	0.75	control-noreward	OutcomeDisplay				
5	119.537		win-reward	ImageDisplay1		0.0		
5	121.777	0.75	win-reward	StartDisplay				
5	122.529		win-reward	ImageDisplay2		0.0		
5	125.538	1.6	win-reward	ChoiceDisplay	1	0.754	1	1
5	126.307	0.846	win-reward	ChosenDisplay		0.0		
5	127.143	0.25	win-reward	TurnDisplay				
5	127.394	0.75	win-reward	OutcomeDisplay				
6	128.146		control-reward	ImageDisplay1		0.0		
6	130.135	0.75	control-reward	StartDisplay				
6	130.888		control-reward	ImageDisplay2		0.0		
6	134.147	1.6	control-reward	ChoiceDisplay	1	0.755	1	1
6	134.933	0.845	control-reward	ChosenDisplay		0.0		
6	135.752	0.25	control-reward	TurnDisplay				
6	136.003	0.75	control-reward	OutcomeDisplay				
7	136.755		loss-noreward	ImageDisplay1		0.0		
7	138.995	0.75	loss-noreward	StartDisplay				
7	139.747		loss-noreward	ImageDisplay2		0.0		
7	142.756	1.6	loss-noreward	ChoiceDisplay	1	0.698	1	1
7	143.475	0.902	loss-noreward	ChosenDisplay		0.0		
7	144.361	0.25	loss-noreward	TurnDisplay				
7	144.612	0.75	loss-noreward	OutcomeDisplay				
8	145.364		loss-noreward	ImageDisplay1		0.0		
8	147.604	0.75	loss-noreward	StartDisplay				
8	148.357		loss-noreward	ImageDisplay2		0.0		
8	151.366	1.6	loss-noreward	ChoiceDisplay	1	1.282	1	1
8	152.669	0.318	loss-noreward	ChosenDisplay		0.0		
8	152.97	0.25	loss-noreward	TurnDisplay				
8	153.221	0.75	loss-noreward	OutcomeDisplay				
9	153.973		loss-reward	ImageDisplay1		0.0		
9	156.213	0.75	loss-reward	StartDisplay				
9	156.966		loss-reward	ImageDisplay2		0.0		
9	159.975	1.6	loss-reward	ChoiceDisplay	1	1.35	1	1
9	161.345	0.25	loss-reward	ChosenDisplay		0.0		
9	161.579	0.25	loss-reward	TurnDisplay				
9	161.83	0.75	loss-reward	OutcomeDisplay				
10	162.582		loss-reward	ImageDisplay1		0.0		
10	164.572	0.75	loss-reward	StartDisplay				
10	165.324		loss-reward	ImageDisplay2		0.0		
10	168.584	1.6	loss-reward	ChoiceDisplay	1	1.378	1	1
10	169.988	0.222	loss-reward	ChosenDisplay		0.0		
10	170.188	0.25	loss-reward	TurnDisplay				
10	170.439	0.75	loss-reward	OutcomeDisplay				
11	171.191		control-noreward	ImageDisplay1		0.0		
11	173.181	0.75	control-noreward	StartDisplay				
11	173.933		control-noreward	ImageDisplay2		0.0		
11	177.193	1.6	control-noreward	ChoiceDisplay	1	1.307	1	1
11	178.513	0.293	control-noreward	ChosenDisplay		0.0		
11	178.797	0.25	control-noreward	TurnDisplay				
11	179.048	0.75	control-noreward	OutcomeDisplay				
12	179.8		control-reward	ImageDisplay1		0.0		
12	182.04	0.75	control-reward	StartDisplay				
12	182.793		control-reward	ImageDisplay2		0.0		
12	185.802	1.6	control-reward	ChoiceDisplay	1	1.105	1	1
12	186.922	0.495	control-reward	ChosenDisplay		0.0		
12	187.406	0.25	control-reward	TurnDisplay				
12	187.657	0.75	control-reward	OutcomeDisplay				
13	188.409		win-reward	ImageDisplay1		0.0		
13	190.649	0.75	win-reward	StartDisplay				
13	191.402		win-reward	ImageDisplay2		0.0		
13	194.411	1.6	win-reward	ChoiceDisplay	1	1.149	1	1
13	195.581	0.451	win-reward	ChosenDisplay		0.0		
13	196.015	0.25	win-reward	TurnDisplay				
13	196.266	0.75	win-reward	OutcomeDisplay				
14	197.018		win-reward	ImageDisplay1		0.0		
14	199.008	0.75	win-reward	StartDisplay				
14	199.76		win-reward	ImageDisplay2		0.0		
14	203.02	1.6	win-reward	ChoiceDisplay	1	1.162	1	1
14	204.207	0.438	win-reward	ChosenDisplay		0.0		
14	204.624	0.25	win-reward	TurnDisplay				
14	204.875	0.75	win-reward	OutcomeDisplay				
15	205.627		win-reward	ImageDisplay1		0.0		
15	207.617	0.75	win-reward	StartDisplay				
15	208.369		win-reward	ImageDisplay2		0.0		
15	211.629	1.6	win-reward	ChoiceDisplay		0.0		
15	213.217	0.0	win-reward	ChosenDisplay		0.0		
15	213.234	0.25	win-reward	TurnDisplay				
15	213.468	0.75	win-reward	OutcomeDisplay				
16	214.22		win-noreward	ImageDisplay1		0.0		
16	216.477	0.75	win-noreward	StartDisplay				
16	217.229		win-noreward	ImageDisplay2		0.0		
16	220.221	1.6	win-noreward	ChoiceDisplay	1	0.696	1	1
16	220.94	0.904	win-noreward	ChosenDisplay		0.0		
16	221.826	0.25	win-noreward	TurnDisplay				
16	222.077	0.75	win-noreward	OutcomeDisplay				
17	222.829		win-reward	ImageDisplay1		0.0		
17	225.069	0.75	win-reward	StartDisplay				
17	225.821		win-reward	ImageDisplay2		0.0		
17	228.83	1.6	win-reward	ChoiceDisplay	1	0.994	1	1
17	229.85	0.606	win-reward	ChosenDisplay		0.0		
17	230.435	0.25	win-reward	TurnDisplay				
17	230.686	0.75	win-reward	OutcomeDisplay				
18	231.438		control-reward	ImageDisplay1		0.0		
18	233.678	0.75	control-reward	StartDisplay				
18	234.43		control-reward	ImageDisplay2		0.0		
18	237.439	1.6	control-reward	ChoiceDisplay	1	0.967	1	1
18	238.425	0.633	control-reward	ChosenDisplay		0.0		
18	239.044	0.25	control-reward	TurnDisplay				
18	239.295	0.75	control-reward	OutcomeDisplay				
19	240.047		control-reward	ImageDisplay1		0.0		
19	242.036	0.75	control-reward	StartDisplay				
19	242.788		control-reward	ImageDisplay2		0.0		
19	246.048	1.6	control-reward	ChoiceDisplay	1	0.979	1	1
19	247.051	0.621	control-reward	ChosenDisplay		0.0		
19	247.653	0.25	control-reward	TurnDisplay				
19	247.904	0.75	control-reward	OutcomeDisplay				
20	248.656		loss-noreward	ImageDisplay1		0.0		
20	250.896	0.75	loss-noreward	StartDisplay				
20	251.648		loss-noreward	ImageDisplay2		0.0		
20	254.657	1.6	loss-noreward	ChoiceDisplay	1	0.746	1	1
20	255.426	0.854	loss-noreward	ChosenDisplay		0.0		
20	256.262	0.25	loss-noreward	TurnDisplay				
20	256.513	0.75	loss-noreward	OutcomeDisplay				
21	257.265		win-reward	ImageDisplay1		0.0		
21	259.254	0.75	win-reward	StartDisplay				
21	260.007		win-reward	ImageDisplay2		0.0		
21	263.266	1.6	win-reward	ChoiceDisplay	1	0.898	1	1
21	264.186	0.702	win-reward	ChosenDisplay		0.0		
21	264.871	0.25	win-reward	TurnDisplay				
21	265.122	0.75	win-reward	OutcomeDisplay				
22	265.874		loss-noreward	ImageDisplay1		0.0		
22	267.863	0.75	loss-noreward	StartDisplay				
22	268.616		loss-noreward	ImageDisplay2		0.0		
22	271.875	1.6	loss-noreward	ChoiceDisplay	1	0.879	1	1
22	272.778	0.721	loss-noreward	ChosenDisplay		0.0		
22	273.48	0.25	loss-noreward	TurnDisplay				
22	273.731	0.75	loss-noreward	OutcomeDisplay				
23	274.483		control-reward	ImageDisplay1		0.0		
23	276.472	0.75	control-reward	StartDisplay				
23	277.225		control-reward	ImageDisplay2		0.0		
23	280.484	1.6	control-reward	ChoiceDisplay	1	1.178	1	1
23	281.688	0.422	control-reward	ChosenDisplay		0.0		
23	282.089	0.25	control-reward	TurnDisplay				
23	282.34	0.75	control-reward	OutcomeDisplay				
24	283.092		loss-reward	ImageDisplay1		0.0		
24	285.081	0.75	loss-reward	StartDisplay				
24	285.835		loss-reward	ImageDisplay2		0.0		
24	289.093	1.6	loss-reward	ChoiceDisplay	1	1.227	1	1
24	290.347	0.373	loss-reward	ChosenDisplay		0.0		
24	290.698	0.25	loss-reward	TurnDisplay				
24	290.949	0.75	loss-reward	OutcomeDisplay				
25	291.701		win-noreward	ImageDisplay1		0.0		
25	293.941	0.75	win-noreward	StartDisplay				
25	294.693		win-noreward	ImageDisplay2		0.0		
25	297.702	1.6	win-noreward	ChoiceDisplay	1	1.077	1	1
25	298.806	0.523	win-noreward	ChosenDisplay		0.0		
25	299.307	0.25	win-noreward	TurnDisplay				
25	299.558	0.75	win-noreward	OutcomeDisplay				
26	300.31		loss-reward	ImageDisplay1		0.0		
26	302.55	0.75	loss-reward	StartDisplay				
26	303.302		loss-reward	ImageDisplay2		0.0		
26	306.311	1.6	loss-reward	ChoiceDisplay	1	1.271	1	1
26	307.599	0.329	loss-reward	ChosenDisplay		0.0		
26	307.916	0.25	loss-reward	TurnDisplay				
26	308.167	0.75	loss-reward	OutcomeDisplay				
27	308.919		control-reward	ImageDisplay1		0.0		
27	310.908	0.75	control-reward	StartDisplay				
27	311.661		control-reward	ImageDisplay2		0.0		
27	314.92	1.6	control-reward	ChoiceDisplay		0.0		
27	316.509	0.0	control-reward	ChosenDisplay		0.0		
27	316.525	0.25	control-reward	TurnDisplay				
27	316.759	0.75	control-reward	OutcomeDisplay				
28	317.512		control-noreward	ImageDisplay1		0.0		
28	319.768	0.75	control-noreward	StartDisplay				
28	320.521		control-noreward	ImageDisplay2		0.0		
28	323.513	1.6	control-noreward	ChoiceDisplay	1	0.894	1	1
28	324.432	0.706	control-noreward	ChosenDisplay		0.0		
28	325.118	0.25	control-noreward	TurnDisplay				
28	325.368	0.75	control-noreward	OutcomeDisplay				
29	326.121		loss-reward	ImageDisplay1		0.0		
29	328.11	0.75	loss-reward	StartDisplay				
29	328.862		loss-reward	ImageDisplay2		0.0		
29	332.122	1.6	loss-reward	ChoiceDisplay	1	1.104	1	1
29	333.242	0.496	loss-reward	ChosenDisplay		0.0		
29	333.727	0.25	loss-reward	TurnDisplay				
29	333.977	0.75	loss-reward	OutcomeDisplay				
30	334.73		loss-reward	ImageDisplay1		0.0		
30	336.97	0.75	loss-reward	StartDisplay				
30	337.722		loss-reward	ImageDisplay2		0.0		
30	340.731	1.6	loss-reward	ChoiceDisplay	1	0.986	1	1
30	341.734	0.614	loss-reward	ChosenDisplay		0.0		
30	342.336	0.25	loss-reward	TurnDisplay				
30	342.586	0.75	loss-reward	OutcomeDisplay				
31	343.339		control-reward	ImageDisplay1		0.0		
31	345.345	0.75	control-reward	StartDisplay				
31	346.08		control-reward	ImageDisplay2		0.0		
31	349.34	1.6	control-reward	ChoiceDisplay	1	0.958	1	1
31	350.326	0.642	control-reward	ChosenDisplay		0.0		
31	350.945	0.25	control-reward	TurnDisplay				
31	351.196	0.75	control-reward	OutcomeDisplay				
32	351.948		control-reward	ImageDisplay1		0.0		
32	354.188	0.75	control-reward	StartDisplay				
32	354.94		control-reward	ImageDisplay2		0.0		
32	357.949	1.6	control-reward	ChoiceDisplay	1	1.098	1	1
32	359.069	0.502	control-reward	ChosenDisplay		0.0		
32	359.554	0.25	control-reward	TurnDisplay				
32	359.804	0.75	control-reward	OutcomeDisplay				
33	360.557		control-reward	ImageDisplay1		0.0		
33	362.546	0.75	control-reward	StartDisplay				
33	363.298		control-reward	ImageDisplay2		0.0		
33	366.558	1.6	control-reward	ChoiceDisplay	1	1.019	1	1
33	367.594	0.581	control-reward	ChosenDisplay		0.0		
33	368.163	0.25	control-reward	TurnDisplay				
33	368.413	0.75	control-reward	OutcomeDisplay				
34	369.166		control-reward	ImageDisplay1		0.0		
34	371.406	0.75	control-reward	StartDisplay				
34	372.158		control-reward	ImageDisplay2		0.0		
34	375.167	1.6	control-reward	ChoiceDisplay	1	1.012	1	1
34	376.203	0.588	control-reward	ChosenDisplay		0.0		
34	376.772	0.25	control-reward	TurnDisplay				
34	377.023	0.75	control-reward	OutcomeDisplay				
35	377.775		win-reward	ImageDisplay1		0.0		
35	379.764	0.75	win-reward	StartDisplay				
35	380.516		win-reward	ImageDisplay2		0.0		
35	383.776	1.6	win-reward	ChoiceDisplay	1	1.075	1	1
35	384.863	0.525	win-reward	ChosenDisplay		0.0		
35	385.381	0.25	win-reward	TurnDisplay				
35	385.632	0.75	win-reward	OutcomeDisplay				
36	386.384		win-reward	ImageDisplay1		0.0		
36	388.373	0.75	win-reward	StartDisplay				
36	389.125		win-reward	ImageDisplay2		0.0		
36	392.385	1.6	win-reward	ChoiceDisplay	1	1.14	1	1
36	393.539	0.46	win-reward	ChosenDisplay		0.0		
36	393.99	0.25	win-reward	TurnDisplay				
36	394.241	0.75	win-reward	OutcomeDisplay				
37	394.993		control-noreward	ImageDisplay1		0.0		
37	397.233	0.75	control-noreward	StartDisplay				
37	397.985		control-noreward	ImageDisplay2		0.0		
37	400.994	1.6	control-noreward	ChoiceDisplay	1	1.107	1	1
37	402.131	0.493	control-noreward	ChosenDisplay		0.0		
37	402.599	0.25	control-noreward	TurnDisplay				
37	402.85	0.75	control-noreward	OutcomeDisplay				
38	403.602		win-noreward	ImageDisplay1		0.0		
38	405.842	0.75	win-noreward	StartDisplay				
38	406.594		win-noreward	ImageDisplay2		0.0		
38	409.603	1.6	win-noreward	ChoiceDisplay	1	1.08	1	1
38	410.706	0.52	win-noreward	ChosenDisplay		0.0		
38	411.208	0.25	win-noreward	TurnDisplay				
38	411.459	0.75	win-noreward	OutcomeDisplay				
39	412.211		control-noreward	ImageDisplay1		0.0		
39	414.2	0.75	control-noreward	StartDisplay				
39	414.969		control-noreward	ImageDisplay2		0.0		
39	418.212	1.6	control-noreward	ChoiceDisplay	1	1.565	1	1
39	419.784	0.0	control-noreward	ChosenDisplay		0.0		
39	419.817	0.25	control-noreward	TurnDisplay				
39	420.034	0.75	control-noreward	OutcomeDisplay				
40	420.787		control-reward	ImageDisplay1		0.0		
40	423.027	0.75	control-reward	StartDisplay				
40	423.779		control-reward	ImageDisplay2		0.0		
40	426.788	1.6	control-reward	ChoiceDisplay	1	1.033	1	1
40	427.841	0.567	control-reward	ChosenDisplay		0.0		
40	428.393	0.25	control-reward	TurnDisplay				
40	428.643	0.75	control-reward	OutcomeDisplay				
41	429.396		win-noreward	ImageDisplay1		0.0		
41	431.385	0.75	win-noreward	StartDisplay				
41	432.137		win-noreward	ImageDisplay2		0.0		
41	435.397	1.6	win-noreward	ChoiceDisplay	1	0.92	1	1
41	436.333	0.68	win-noreward	ChosenDisplay		0.0		
41	437.002	0.25	win-noreward	TurnDisplay				
41	437.252	0.75	win-noreward	OutcomeDisplay				
42	438.005		loss-reward	ImageDisplay1		0.0		
42	440.245	0.75	loss-reward	StartDisplay				
42	440.997		loss-reward	ImageDisplay2		0.0		
42	444.006	1.6	loss-reward	ChoiceDisplay	1	1.108	1	1
42	445.143	0.492	loss-reward	ChosenDisplay		0.0		
42	445.611	0.25	loss-reward	TurnDisplay				
42	445.861	0.75	loss-reward	OutcomeDisplay				
43	446.614		control-reward	ImageDisplay1		0.0		
43	448.854	0.75	control-reward	StartDisplay				
43	449.606		control-reward	ImageDisplay2		0.0		
43	452.615	1.6	control-reward	ChoiceDisplay	1	0.809	1	1
43	453.451	0.791	control-reward	ChosenDisplay		0.0		
43	454.22	0.25	control-reward	TurnDisplay				
43	454.47	0.75	control-reward	OutcomeDisplay				
44	455.223		loss-reward	ImageDisplay1		0.0		
44	457.212	0.75	loss-reward	StartDisplay				
44	457.964		loss-reward	ImageDisplay2		0.0		
44	461.224	1.6	loss-reward	ChoiceDisplay	1	1.348	1	1
44	462.595	0.252	loss-reward	ChosenDisplay		0.0		
44	462.829	0.25	loss-reward	TurnDisplay				
44	463.079	0.75	loss-reward	OutcomeDisplay				
45	463.832		control-noreward	ImageDisplay1		0.0		
45	465.821	0.75	control-noreward	StartDisplay				
45	466.573		control-noreward	ImageDisplay2		0.0		
45	469.833	1.6	control-noreward	ChoiceDisplay	1	1.264	1	1
45	471.12	0.336	control-noreward	ChosenDisplay		0.0		
45	471.438	0.25	control-noreward	TurnDisplay				
45	471.689	0.75	control-noreward	OutcomeDisplay				
46	472.441		win-noreward	ImageDisplay1		0.0		
46	474.43	0.75	win-noreward	StartDisplay				
46	475.182		win-noreward	ImageDisplay2		0.0		
46	478.442	1.6	win-noreward	ChoiceDisplay	1	1.077	1	1
46	479.545	0.523	win-noreward	ChosenDisplay		0.0		
46	480.047	0.25	win-noreward	TurnDisplay				
46	480.298	0.75	win-noreward	OutcomeDisplay				
47	481.05		win-noreward	ImageDisplay1		0.0		
47	483.29	0.75	win-noreward	StartDisplay				
47	484.042		win-noreward	ImageDisplay2		0.0		
47	487.051	1.6	win-noreward	ChoiceDisplay	1	1.123	1	1
47	488.188	0.477	win-noreward	ChosenDisplay		0.0		
47	488.656	0.25	win-noreward	TurnDisplay				
47	488.907	0.75	win-noreward	OutcomeDisplay				
48	489.659		control-noreward	ImageDisplay1		0.0		
48	491.899	0.75	control-noreward	StartDisplay				
48	492.651		control-noreward	ImageDisplay2		0.0		
48	495.66	1.6	control-noreward	ChoiceDisplay	1	1.434	1	1
48	497.114	0.166	control-noreward	ChosenDisplay		0.0		
48	497.265	0.25	control-noreward	TurnDisplay				
48	497.516	0.75	control-noreward	OutcomeDisplay				
49	498.268		win-noreward	ImageDisplay1		0.0		
49	500.257	0.75	win-noreward	StartDisplay				
49	501.009		win-noreward	ImageDisplay2		0.0		
49	504.269	1.6	win-noreward	ChoiceDisplay	1	1.17	1	1
49	505.456	0.43	win-noreward	ChosenDisplay		0.0		
49	505.874	0.25	win-noreward	TurnDisplay				
49	506.125	0.75	win-noreward	OutcomeDisplay				
50	506.877		win-reward	ImageDisplay1		0.0		
50	508.883	0.75	win-reward	StartDisplay				
50	509.618		win-reward	ImageDisplay2		0.0		
50	512.878	1.6	win-reward	ChoiceDisplay	1	0.601	1	1
50	513.497	0.999	win-reward	ChosenDisplay		0.0		
50	514.483	0.25	win-reward	TurnDisplay				
50	514.734	0.75	win-reward	OutcomeDisplay				
51	515.486		control-noreward	ImageDisplay1		0.0		
51	517.726	0.75	control-noreward	StartDisplay				
51	518.478		control-noreward	ImageDisplay2		0.0		
