frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	87.881		win-reward	ImageDisplay1		0.0		
0	89.864	0.75	win-reward	StartDisplay				
0	90.614		win-reward	ImageDisplay2		0.0		
0	93.864	1.6	win-reward	ChoiceDisplay	1	0.926	1	1
0	94.814	0.674	win-reward	ChosenDisplay		0.0		
0	95.464	0.25	win-reward	TurnDisplay				
0	95.714	0.75	win-reward	OutcomeDisplay				
1	96.464		control-noreward	ImageDisplay1		0.0		
1	98.714	0.75	control-noreward	StartDisplay				
1	99.464		control-noreward	ImageDisplay2		0.0		
1	102.464	1.6	control-noreward	ChoiceDisplay	1	0.763	1	1
1	103.247	0.837	control-noreward	ChosenDisplay		0.0		
1	104.064	0.25	control-noreward	TurnDisplay				
1	104.314	0.75	control-noreward	OutcomeDisplay				
2	105.064		loss-reward	ImageDisplay1		0.0		
2	107.064	0.75	loss-reward	StartDisplay				
2	107.814		loss-reward	ImageDisplay2		0.0		
2	111.064	1.6	loss-reward	ChoiceDisplay	1	1.082	1	1
2	112.164	0.518	loss-reward	ChosenDisplay		0.0		
2	112.664	0.25	loss-reward	TurnDisplay				
2	112.914	0.75	loss-reward	OutcomeDisplay				
3	113.664		win-noreward	ImageDisplay1		0.0		
3	115.664	0.75	win-noreward	StartDisplay				
3	116.414		win-noreward	ImageDisplay2		0.0		
3	119.664	1.6	win-noreward	ChoiceDisplay	1	0.897	1	1
3	120.58	0.703	win-noreward	ChosenDisplay		0.0		
3	121.264	0.25	win-noreward	TurnDisplay				
3	121.514	0.75	win-noreward	OutcomeDisplay				
4	122.264		win-reward	ImageDisplay1		0.0		
4	124.264	0.75	win-reward	StartDisplay				
4	125.014		win-reward	ImageDisplay2		0.0		
4	128.263	1.6	win-reward	ChoiceDisplay	1	0.731	1	1
4	129.013	0.869	win-reward	ChosenDisplay		0.0		
4	129.863	0.25	win-reward	TurnDisplay				
4	130.113	0.75	win-reward	OutcomeDisplay				
5	130.863		win-reward	ImageDisplay1		0.0		
5	132.863	0.75	win-reward	StartDisplay				
5	133.613		win-reward	ImageDisplay2		0.0		
5	136.863	1.6	win-reward	ChoiceDisplay	1	0.754	1	1
5	137.63	0.846	win-reward	ChosenDisplay		0.0		
5	138.463	0.25	win-reward	TurnDisplay				
5	138.713	0.75	win-reward	OutcomeDisplay				
6	139.463		win-reward	ImageDisplay1		0.0		
6	141.713	0.75	win-reward	StartDisplay				
6	142.463		win-reward	ImageDisplay2		0.0		
6	145.463	1.6	win-reward	ChoiceDisplay	1	0.696	1	1
6	146.18	0.904	win-reward	ChosenDisplay		0.0		
6	147.063	0.25	win-reward	TurnDisplay				
6	147.313	0.75	win-reward	OutcomeDisplay				
7	148.063		win-noreward	ImageDisplay1		0.0		
7	150.313	0.75	win-noreward	StartDisplay				
7	151.063		win-noreward	ImageDisplay2		0.0		
7	154.063	1.6	win-noreward	ChoiceDisplay	1	0.849	1	1
7	154.929	0.751	win-noreward	ChosenDisplay		0.0		
7	155.663	0.25	win-noreward	TurnDisplay				
7	155.913	0.75	win-noreward	OutcomeDisplay				
8	156.663		loss-reward	ImageDisplay1		0.0		
8	158.663	0.75	loss-reward	StartDisplay				
8	159.413		loss-reward	ImageDisplay2		0.0		
8	162.663	1.6	loss-reward	ChoiceDisplay	1	0.861	1	1
8	163.546	0.739	loss-reward	ChosenDisplay		0.0		
8	164.263	0.25	loss-reward	TurnDisplay				
8	164.513	0.75	loss-reward	OutcomeDisplay				
9	165.263		loss-noreward	ImageDisplay1		0.0		
9	167.513	0.75	loss-noreward	StartDisplay				
9	168.262		loss-noreward	ImageDisplay2		0.0		
9	171.262	1.6	loss-noreward	ChoiceDisplay	1	0.474	1	1
9	171.762	1.126	loss-noreward	ChosenDisplay		0.0		
9	172.862	0.25	loss-noreward	TurnDisplay				
9	173.112	0.75	loss-noreward	OutcomeDisplay				
10	173.862		win-reward	ImageDisplay1		0.0		
10	176.112	0.75	win-reward	StartDisplay				
10	176.862		win-reward	ImageDisplay2		0.0		
10	179.862	1.6	win-reward	ChoiceDisplay	1	0.925	1	1
10	180.812	0.675	win-reward	ChosenDisplay		0.0		
10	181.462	0.25	win-reward	TurnDisplay				
10	181.712	0.75	win-reward	OutcomeDisplay				
11	182.462		control-reward	ImageDisplay1		0.0		
11	184.712	0.75	control-reward	StartDisplay				
11	185.462		control-reward	ImageDisplay2		0.0		
11	188.462	1.6	control-reward	ChoiceDisplay	1	0.9	1	1
11	189.379	0.7	control-reward	ChosenDisplay		0.0		
11	190.062	0.25	control-reward	TurnDisplay				
11	190.312	0.75	control-reward	OutcomeDisplay				
12	191.062		control-reward	ImageDisplay1		0.0		
12	193.312	0.75	control-reward	StartDisplay				
12	194.062		control-reward	ImageDisplay2		0.0		
12	197.062	1.6	control-reward	ChoiceDisplay	1	0.498	1	1
12	197.578	1.102	control-reward	ChosenDisplay		0.0		
12	198.662	0.25	control-reward	TurnDisplay				
12	198.912	0.75	control-reward	OutcomeDisplay				
13	199.662		loss-noreward	ImageDisplay1		0.0		
13	201.912	0.75	loss-noreward	StartDisplay				
13	202.662		loss-noreward	ImageDisplay2		0.0		
13	205.662	1.6	loss-noreward	ChoiceDisplay	1	0.767	1	1
13	206.445	0.833	loss-noreward	ChosenDisplay		0.0		
13	207.262	0.25	loss-noreward	TurnDisplay				
13	207.512	0.75	loss-noreward	OutcomeDisplay				
14	208.262		loss-noreward	ImageDisplay1		0.0		
14	210.262	0.75	loss-noreward	StartDisplay				
14	211.011		loss-noreward	ImageDisplay2		0.0		
14	214.261	1.6	loss-noreward	ChoiceDisplay	1	0.775	1	1
14	215.061	0.825	loss-noreward	ChosenDisplay		0.0		
14	215.861	0.25	loss-noreward	TurnDisplay				
14	216.111	0.75	loss-noreward	OutcomeDisplay				
15	216.861		control-noreward	ImageDisplay1		0.0		
15	219.111	0.75	control-noreward	StartDisplay				
15	219.861		control-noreward	ImageDisplay2		0.0		
15	222.861	1.6	control-noreward	ChoiceDisplay	1	0.695	1	1
15	223.578	0.905	control-noreward	ChosenDisplay		0.0		
15	224.461	0.25	control-noreward	TurnDisplay				
15	224.711	0.75	control-noreward	OutcomeDisplay				
16	225.461		control-noreward	ImageDisplay1		0.0		
16	227.461	0.75	control-noreward	StartDisplay				
16	228.211		control-noreward	ImageDisplay2		0.0		
16	231.461	1.6	control-noreward	ChoiceDisplay	1	0.631	1	1
16	232.111	0.969	control-noreward	ChosenDisplay		0.0		
16	233.061	0.25	control-noreward	TurnDisplay				
16	233.311	0.75	control-noreward	OutcomeDisplay				
17	234.061		loss-reward	ImageDisplay1		0.0		
17	236.311	0.75	loss-reward	StartDisplay				
