frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	86.861		control-reward	ImageDisplay1		0.0		
0	89.101		control-reward	StartDisplay		0.0		
0	89.836		control-reward	ImageDisplay2		0.0		
0	92.845		control-reward	ChoiceDisplay		0.0		
0	94.45		control-reward	ChosenDisplay		0.0		
0	94.467		control-reward	TurnDisplay				
0	94.701		control-reward	OutcomeDisplay				
1	95.437		control-reward	ImageDisplay1		0.0		
1	97.693		control-reward	StartDisplay		0.0		
1	98.446		control-reward	ImageDisplay2		0.0		
1	101.438		control-reward	ChoiceDisplay	3	0.326	3	3
1	101.789		control-reward	ChosenDisplay		0.0		
1	103.043		control-reward	TurnDisplay				
1	103.293		control-reward	OutcomeDisplay				
2	104.046		win-reward	ImageDisplay1		0.0		
2	106.286		win-reward	StartDisplay		0.0		
2	107.038		win-reward	ImageDisplay2		0.0		
2	110.047		win-reward	ChoiceDisplay	3	0.722	3	3
2	110.782		win-reward	ChosenDisplay		0.0		
2	111.652		win-reward	TurnDisplay				
2	111.902		win-reward	OutcomeDisplay				
3	112.655		control-noreward	ImageDisplay1		0.0		
3	114.644		control-noreward	StartDisplay		0.0		
3	115.396		control-noreward	ImageDisplay2		0.0		
3	118.656		control-noreward	ChoiceDisplay	3	0.811	3	3
3	119.492		control-noreward	ChosenDisplay		0.0		
3	120.261		control-noreward	TurnDisplay				
3	120.511		control-noreward	OutcomeDisplay				
4	121.264		control-reward	ImageDisplay1		0.0		
4	123.504		control-reward	StartDisplay		0.0		
4	124.256		control-reward	ImageDisplay2		0.0		
4	127.265		control-reward	ChoiceDisplay		0.0		
4	128.853		control-reward	ChosenDisplay		0.0		
4	128.87		control-reward	TurnDisplay				
4	129.104		control-reward	OutcomeDisplay				
5	129.856		win-reward	ImageDisplay1		0.0		
5	132.113		win-reward	StartDisplay		0.0		
5	132.865		win-reward	ImageDisplay2		0.0		
5	135.857		win-reward	ChoiceDisplay	3	0.419	3	3
5	136.292		win-reward	ChosenDisplay		0.0		
5	137.462		win-reward	TurnDisplay				
5	137.713		win-reward	OutcomeDisplay				
6	138.465		win-noreward	ImageDisplay1		0.0		
6	140.454		win-noreward	StartDisplay		0.0		
6	141.207		win-noreward	ImageDisplay2		0.0		
6	144.466		win-noreward	ChoiceDisplay	3	0.958	3	3
6	145.436		win-noreward	ChosenDisplay		0.0		
6	146.071		win-noreward	TurnDisplay				
6	146.322		win-noreward	OutcomeDisplay				
7	147.074		win-noreward	ImageDisplay1		0.0		
7	149.064		win-noreward	StartDisplay		0.0		
7	149.816		win-noreward	ImageDisplay2		0.0		
7	153.076		win-noreward	ChoiceDisplay	3	1.177	3	3
7	154.279		win-noreward	ChosenDisplay		0.0		
7	154.68		win-noreward	TurnDisplay				
7	154.931		win-noreward	OutcomeDisplay				
8	155.683		loss-reward	ImageDisplay1		0.0		
8	157.923		loss-reward	StartDisplay		0.0		
8	158.676		loss-reward	ImageDisplay2		0.0		
8	161.685		loss-reward	ChoiceDisplay	3	0.677	3	3
8	162.387		loss-reward	ChosenDisplay		0.0		
8	163.289		loss-reward	TurnDisplay				
8	163.54		loss-reward	OutcomeDisplay				
9	164.292		control-noreward	ImageDisplay1		0.0		
9	166.282		control-noreward	StartDisplay		0.0		
9	167.034		control-noreward	ImageDisplay2		0.0		
9	170.294		control-noreward	ChoiceDisplay	3	0.426	3	3
9	170.745		control-noreward	ChosenDisplay		0.0		
9	171.898		control-noreward	TurnDisplay				
9	172.149		control-noreward	OutcomeDisplay				
10	172.901		win-reward	ImageDisplay1		0.0		
10	175.141		win-reward	StartDisplay		0.0		
10	175.894		win-reward	ImageDisplay2		0.0		
10	178.903		win-reward	ChoiceDisplay	3	0.593	3	3
10	179.521		win-reward	ChosenDisplay		0.0		
10	180.508		win-reward	TurnDisplay				
10	180.758		win-reward	OutcomeDisplay				
11	181.511		loss-noreward	ImageDisplay1		0.0		
11	183.5		loss-noreward	StartDisplay		0.0		
11	184.252		loss-noreward	ImageDisplay2		0.0		
11	187.512		loss-noreward	ChoiceDisplay	3	0.918	3	3
11	188.448		loss-noreward	ChosenDisplay		0.0		
11	189.117		loss-noreward	TurnDisplay				
11	189.367		loss-noreward	OutcomeDisplay				
12	190.12		loss-noreward	ImageDisplay1		0.0		
12	192.109		loss-noreward	StartDisplay		0.0		
12	192.861		loss-noreward	ImageDisplay2		0.0		
12	196.121		loss-noreward	ChoiceDisplay	3	1.089	3	3
12	197.224		loss-noreward	ChosenDisplay		0.0		
12	197.726		loss-noreward	TurnDisplay				
12	197.976		loss-noreward	OutcomeDisplay				
13	198.729		loss-noreward	ImageDisplay1		0.0		
13	200.718		loss-noreward	StartDisplay		0.0		
13	201.47		loss-noreward	ImageDisplay2		0.0		
13	204.73		loss-noreward	ChoiceDisplay	3	0.738	3	3
13	205.482		loss-noreward	ChosenDisplay		0.0		
13	206.335		loss-noreward	TurnDisplay				
13	206.585		loss-noreward	OutcomeDisplay				
14	207.338		win-reward	ImageDisplay1		0.0		
14	209.578		win-reward	StartDisplay		0.0		
14	210.33		win-reward	ImageDisplay2		0.0		
14	213.339		win-reward	ChoiceDisplay	3	0.498	3	3
14	213.857		win-reward	ChosenDisplay		0.0		
14	214.944		win-reward	TurnDisplay				
14	215.195		win-reward	OutcomeDisplay				
15	215.947		loss-noreward	ImageDisplay1		0.0		
15	217.936		loss-noreward	StartDisplay		0.0		
15	218.688		loss-noreward	ImageDisplay2		0.0		
15	221.948		loss-noreward	ChoiceDisplay	3	0.594	3	3
15	222.567		loss-noreward	ChosenDisplay		0.0		
15	223.553		loss-noreward	TurnDisplay				
15	223.804		loss-noreward	OutcomeDisplay				
16	224.556		win-reward	ImageDisplay1		0.0		
16	226.796		win-reward	StartDisplay		0.0		
16	227.548		win-reward	ImageDisplay2		0.0		
16	230.557		win-reward	ChoiceDisplay	3	0.576	3	3
16	231.159		win-reward	ChosenDisplay		0.0		
16	232.162		win-reward	TurnDisplay				
16	232.413		win-reward	OutcomeDisplay				
17	233.165		win-reward	ImageDisplay1		0.0		
17	235.405		win-reward	StartDisplay		0.0		
17	236.157		win-reward	ImageDisplay2		0.0		
17	239.166		win-reward	ChoiceDisplay	3	0.802	3	3
17	239.985		win-reward	ChosenDisplay		0.0		
17	240.771		win-reward	TurnDisplay				
17	241.022		win-reward	OutcomeDisplay				
18	241.774		control-reward	ImageDisplay1		0.0		
18	244.014		control-reward	StartDisplay		0.0		
18	244.766		control-reward	ImageDisplay2		0.0		
18	247.775		control-reward	ChoiceDisplay	3	1.002	3	3
18	248.795		control-reward	ChosenDisplay		0.0		
18	249.38		control-reward	TurnDisplay				
18	249.631		control-reward	OutcomeDisplay				
19	250.383		win-noreward	ImageDisplay1		0.0		
19	252.372		win-noreward	StartDisplay		0.0		
19	253.125		win-noreward	ImageDisplay2		0.0		
19	256.384		win-noreward	ChoiceDisplay	3	0.477	3	3
19	256.886		win-noreward	ChosenDisplay		0.0		
19	257.989		win-noreward	TurnDisplay				
19	258.24		win-noreward	OutcomeDisplay				
20	258.992		win-noreward	ImageDisplay1		0.0		
20	260.981		win-noreward	StartDisplay		0.0		
20	261.734		win-noreward	ImageDisplay2		0.0		
20	264.993		win-noreward	ChoiceDisplay	3	0.672	3	3
20	265.679		win-noreward	ChosenDisplay		0.0		
20	266.598		win-noreward	TurnDisplay				
20	266.849		win-noreward	OutcomeDisplay				
21	267.601		control-reward	ImageDisplay1		0.0		
21	269.841		control-reward	StartDisplay		0.0		
21	270.594		control-reward	ImageDisplay2		0.0		
21	273.603		control-reward	ChoiceDisplay	3	0.695	3	3
21	274.321		control-reward	ChosenDisplay		0.0		
21	275.207		control-reward	TurnDisplay				
21	275.458		control-reward	OutcomeDisplay				
22	276.21		win-reward	ImageDisplay1		0.0		
22	278.45		win-reward	StartDisplay		0.0		
22	279.203		win-reward	ImageDisplay2		0.0		
22	282.212		win-reward	ChoiceDisplay	3	0.877	3	3
22	283.114		win-reward	ChosenDisplay		0.0		
22	283.816		win-reward	TurnDisplay				
22	284.067		win-reward	OutcomeDisplay				
23	284.819		win-reward	ImageDisplay1		0.0		
23	287.059		win-reward	StartDisplay		0.0		
23	287.812		win-reward	ImageDisplay2		0.0		
23	290.821		win-reward	ChoiceDisplay	3	0.862	3	3
23	291.707		win-reward	ChosenDisplay		0.0		
23	292.425		win-reward	TurnDisplay				
23	292.676		win-reward	OutcomeDisplay				
24	293.428		loss-noreward	ImageDisplay1		0.0		
24	295.418		loss-noreward	StartDisplay		0.0		
24	296.17		loss-noreward	ImageDisplay2		0.0		
24	299.43		loss-noreward	ChoiceDisplay	3	0.835	3	3
24	300.282		loss-noreward	ChosenDisplay		0.0		
24	301.035		loss-noreward	TurnDisplay				
24	301.285		loss-noreward	OutcomeDisplay				
25	302.038		control-noreward	ImageDisplay1		0.0		
25	304.027		control-noreward	StartDisplay		0.0		
25	304.779		control-noreward	ImageDisplay2		0.0		
25	308.039		control-noreward	ChoiceDisplay	3	0.687	3	3
25	308.741		control-noreward	ChosenDisplay		0.0		
25	309.644		control-noreward	TurnDisplay				
25	309.894		control-noreward	OutcomeDisplay				
26	310.647		control-noreward	ImageDisplay1		0.0		
26	312.636		control-noreward	StartDisplay		0.0		
26	313.388		control-noreward	ImageDisplay2		0.0		
26	316.648		control-noreward	ChoiceDisplay	3	1.161	3	3
26	317.835		control-noreward	ChosenDisplay		0.0		
26	318.253		control-noreward	TurnDisplay				
26	318.503		control-noreward	OutcomeDisplay				
27	319.256		loss-reward	ImageDisplay1		0.0		
27	321.496		loss-reward	StartDisplay		0.0		
27	322.248		loss-reward	ImageDisplay2		0.0		
27	325.257		loss-reward	ChoiceDisplay	3	0.898	3	3
27	326.176		loss-reward	ChosenDisplay		0.0		
27	326.862		loss-reward	TurnDisplay				
27	327.113		loss-reward	OutcomeDisplay				
28	327.865		control-reward	ImageDisplay1		0.0		
28	330.105		control-reward	StartDisplay		0.0		
28	330.857		control-reward	ImageDisplay2		0.0		
28	333.866		control-reward	ChoiceDisplay	3	0.728	3	3
28	334.618		control-reward	ChosenDisplay		0.0		
28	335.471		control-reward	TurnDisplay				
28	335.722		control-reward	OutcomeDisplay				
29	336.474		control-noreward	ImageDisplay1		0.0		
29	338.463		control-noreward	StartDisplay		0.0		
29	339.215		control-noreward	ImageDisplay2		0.0		
29	342.475		control-noreward	ChoiceDisplay	3	0.968	3	3
29	343.461		control-noreward	ChosenDisplay		0.0		
29	344.08		control-noreward	TurnDisplay				
29	344.331		control-noreward	OutcomeDisplay				
30	345.083		loss-reward	ImageDisplay1		0.0		
30	347.323		loss-reward	StartDisplay		0.0		
30	348.075		loss-reward	ImageDisplay2		0.0		
30	351.084		loss-reward	ChoiceDisplay	3	0.428	3	3
30	351.536		loss-reward	ChosenDisplay		0.0		
30	352.689		loss-reward	TurnDisplay				
30	352.94		loss-reward	OutcomeDisplay				
31	353.692		loss-noreward	ImageDisplay1		0.0		
31	355.681		loss-noreward	StartDisplay		0.0		
31	356.434		loss-noreward	ImageDisplay2		0.0		
31	359.693		loss-noreward	ChoiceDisplay	3	0.473	3	3
31	360.178		loss-noreward	ChosenDisplay		0.0		
31	361.298		loss-noreward	TurnDisplay				
31	361.549		loss-noreward	OutcomeDisplay				
32	362.301		control-reward	ImageDisplay1		0.0		
32	364.541		control-reward	StartDisplay		0.0		
32	365.293		control-reward	ImageDisplay2		0.0		
32	368.302		control-reward	ChoiceDisplay	3	1.007	3	3
32	369.322		control-reward	ChosenDisplay		0.0		
32	369.907		control-reward	TurnDisplay				
32	370.158		control-reward	OutcomeDisplay				
33	370.91		control-reward	ImageDisplay1		0.0		
33	373.15		control-reward	StartDisplay		0.0		
33	373.902		control-reward	ImageDisplay2		0.0		
33	376.911		control-reward	ChoiceDisplay	3	0.648	3	3
33	377.58		control-reward	ChosenDisplay		0.0		
33	378.516		control-reward	TurnDisplay				
33	378.767		control-reward	OutcomeDisplay				
34	379.519		win-reward	ImageDisplay1		0.0		
34	381.759		win-reward	StartDisplay		0.0		
34	382.512		win-reward	ImageDisplay2		0.0		
34	385.521		win-reward	ChoiceDisplay	3	0.995	3	3
34	386.54		win-reward	ChosenDisplay		0.0		
34	387.125		win-reward	TurnDisplay				
34	387.376		win-reward	OutcomeDisplay				
35	388.128		loss-noreward	ImageDisplay1		0.0		
35	390.118		loss-noreward	StartDisplay		0.0		
35	390.87		loss-noreward	ImageDisplay2		0.0		
35	394.13		loss-noreward	ChoiceDisplay	3	0.696	3	3
35	394.848		loss-noreward	ChosenDisplay		0.0		
35	395.734		loss-noreward	TurnDisplay				
35	395.985		loss-noreward	OutcomeDisplay				
36	396.737		win-noreward	ImageDisplay1		0.0		
36	398.727		win-noreward	StartDisplay		0.0		
36	399.479		win-noreward	ImageDisplay2		0.0		
36	402.739		win-noreward	ChoiceDisplay	3	0.986	3	3
36	403.742		win-noreward	ChosenDisplay		0.0		
36	404.343		win-noreward	TurnDisplay				
36	404.594		win-noreward	OutcomeDisplay				
37	405.346		control-noreward	ImageDisplay1		0.0		
37	407.336		control-noreward	StartDisplay		0.0		
37	408.088		control-noreward	ImageDisplay2		0.0		
37	411.348		control-noreward	ChoiceDisplay	3	0.641	3	3
37	412.0		control-noreward	ChosenDisplay		0.0		
37	412.953		control-noreward	TurnDisplay				
37	413.203		control-noreward	OutcomeDisplay				
38	413.956		win-reward	ImageDisplay1		0.0		
38	416.196		win-reward	StartDisplay		0.0		
38	416.948		win-reward	ImageDisplay2		0.0		
38	419.957		win-reward	ChoiceDisplay	3	1.091	3	3
38	421.06		win-reward	ChosenDisplay		0.0		
38	421.562		win-reward	TurnDisplay				
38	421.812		win-reward	OutcomeDisplay				
39	422.565		loss-reward	ImageDisplay1		0.0		
39	424.805		loss-reward	StartDisplay		0.0		
39	425.557		loss-reward	ImageDisplay2		0.0		
39	428.566		loss-reward	ChoiceDisplay	3	0.772	3	3
39	429.352		loss-reward	ChosenDisplay		0.0		
39	430.171		loss-reward	TurnDisplay				
39	430.421		loss-reward	OutcomeDisplay				
40	431.174		loss-noreward	ImageDisplay1		0.0		
40	433.163		loss-noreward	StartDisplay		0.0		
40	433.915		loss-noreward	ImageDisplay2		0.0		
40	437.175		loss-noreward	ChoiceDisplay	3	0.925	3	3
40	438.111		loss-noreward	ChosenDisplay		0.0		
40	438.78		loss-noreward	TurnDisplay				
40	439.031		loss-noreward	OutcomeDisplay				
41	439.783		win-noreward	ImageDisplay1		0.0		
41	441.772		win-noreward	StartDisplay		0.0		
41	442.524		win-noreward	ImageDisplay2		0.0		
41	445.784		win-noreward	ChoiceDisplay	3	0.986	3	3
41	446.787		win-noreward	ChosenDisplay		0.0		
41	447.389		win-noreward	TurnDisplay				
41	447.64		win-noreward	OutcomeDisplay				
42	448.392		loss-reward	ImageDisplay1		0.0		
42	450.632		loss-reward	StartDisplay		0.0		
42	451.384		loss-reward	ImageDisplay2		0.0		
42	454.393		loss-reward	ChoiceDisplay	3	0.953	3	3
42	455.363		loss-reward	ChosenDisplay		0.0		
42	455.998		loss-reward	TurnDisplay				
42	456.249		loss-reward	OutcomeDisplay				
43	457.001		win-noreward	ImageDisplay1		0.0		
43	458.99		win-noreward	StartDisplay		0.0		
43	459.742		win-noreward	ImageDisplay2		0.0		
43	463.002		win-noreward	ChoiceDisplay	3	0.867	3	3
43	463.888		win-noreward	ChosenDisplay		0.0		
43	464.607		win-noreward	TurnDisplay				
43	464.858		win-noreward	OutcomeDisplay				
44	465.61		control-noreward	ImageDisplay1		0.0		
44	467.599		control-noreward	StartDisplay		0.0		
44	468.352		control-noreward	ImageDisplay2		0.0		
44	471.611		control-noreward	ChoiceDisplay	3	1.063	3	3
44	472.698		control-noreward	ChosenDisplay		0.0		
44	473.216		control-noreward	TurnDisplay				
44	473.467		control-noreward	OutcomeDisplay				
45	474.219		win-reward	ImageDisplay1		0.0		
45	476.459		win-reward	StartDisplay		0.0		
45	477.211		win-reward	ImageDisplay2		0.0		
45	480.22		win-reward	ChoiceDisplay	3	0.868	3	3
45	481.106		win-reward	ChosenDisplay		0.0		
45	481.825		win-reward	TurnDisplay				
45	482.076		win-reward	OutcomeDisplay				
46	482.828		control-reward	ImageDisplay1		0.0		
46	485.068		control-reward	StartDisplay		0.0		
46	485.82		control-reward	ImageDisplay2		0.0		
46	488.829		control-reward	ChoiceDisplay	3	0.833	3	3
46	489.682		control-reward	ChosenDisplay		0.0		
46	490.434		control-reward	TurnDisplay				
46	490.685		control-reward	OutcomeDisplay				
47	491.437		control-noreward	ImageDisplay1		0.0		
47	493.426		control-noreward	StartDisplay		0.0		
47	494.179		control-noreward	ImageDisplay2		0.0		
47	497.438		control-noreward	ChoiceDisplay	3	0.799	3	3
47	498.258		control-noreward	ChosenDisplay		0.0		
47	499.043		control-noreward	TurnDisplay				
47	499.294		control-noreward	OutcomeDisplay				
48	500.046		win-reward	ImageDisplay1		0.0		
48	502.286		win-reward	StartDisplay		0.0		
48	503.039		win-reward	ImageDisplay2		0.0		
48	506.048		win-reward	ChoiceDisplay	3	0.988	3	3
48	507.051		win-reward	ChosenDisplay		0.0		
