frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	45.297		control-noreward	ImageDisplay1		0.0		
0	47.286	0.75	control-noreward	StartDisplay				
0	48.038		control-noreward	ImageDisplay2		0.0		
0	51.281	1.6	control-noreward	ChoiceDisplay	1	0.848	1	1
0	52.15	0.752	control-noreward	ChosenDisplay		0.0		
0	52.886	0.25	control-noreward	TurnDisplay				
0	53.137	0.75	control-noreward	OutcomeDisplay				
1	53.889		win-reward	ImageDisplay1		0.0		
1	56.129	0.75	win-reward	StartDisplay				
1	56.881		win-reward	ImageDisplay2		0.0		
1	59.89	1.6	win-reward	ChoiceDisplay	1	0.77	1	1
1	60.676	0.83	win-reward	ChosenDisplay		0.0		
1	61.495	0.25	win-reward	TurnDisplay				
1	61.746	0.75	win-reward	OutcomeDisplay				
2	62.498		control-reward	ImageDisplay1		0.0		
2	64.487	0.75	control-reward	StartDisplay				
2	65.239		control-reward	ImageDisplay2		0.0		
2	68.499	1.6	control-reward	ChoiceDisplay	1	0.906	1	1
2	69.419	0.694	control-reward	ChosenDisplay		0.0		
2	70.104	0.25	control-reward	TurnDisplay				
2	70.355	0.75	control-reward	OutcomeDisplay				
3	71.107		win-noreward	ImageDisplay1		0.0		
3	73.347	0.75	win-noreward	StartDisplay				
3	74.099		win-noreward	ImageDisplay2		0.0		
3	77.108	1.6	win-noreward	ChoiceDisplay	1	0.971	1	1
3	78.094	0.629	win-noreward	ChosenDisplay		0.0		
3	78.713	0.25	win-noreward	TurnDisplay				
3	78.964	0.75	win-noreward	OutcomeDisplay				
4	79.716		control-reward	ImageDisplay1		0.0		
4	81.705	0.75	control-reward	StartDisplay				
4	82.458		control-reward	ImageDisplay2		0.0		
4	85.717	1.6	control-reward	ChoiceDisplay	1	1.059	1	1
4	86.787	0.541	control-reward	ChosenDisplay		0.0		
4	87.322	0.25	control-reward	TurnDisplay				
4	87.573	0.75	control-reward	OutcomeDisplay				
5	88.325		win-reward	ImageDisplay1		0.0		
5	90.314	0.75	win-reward	StartDisplay				
5	91.067		win-reward	ImageDisplay2		0.0		
5	94.326	1.6	win-reward	ChoiceDisplay	1	1.116	1	1
5	95.463	0.484	win-reward	ChosenDisplay		0.0		
5	95.931	0.25	win-reward	TurnDisplay				
5	96.182	0.75	win-reward	OutcomeDisplay				
6	96.934		loss-noreward	ImageDisplay1		0.0		
6	98.923	0.75	loss-noreward	StartDisplay				
6	99.676		loss-noreward	ImageDisplay2		0.0		
6	102.935	1.6	loss-noreward	ChoiceDisplay	1	1.215	1	1
6	104.172	0.385	loss-noreward	ChosenDisplay		0.0		
6	104.54	0.25	loss-noreward	TurnDisplay				
6	104.791	0.75	loss-noreward	OutcomeDisplay				
7	105.543		control-reward	ImageDisplay1		0.0		
7	107.532	0.75	control-reward	StartDisplay				
7	108.285		control-reward	ImageDisplay2		0.0		
7	111.544	1.6	control-reward	ChoiceDisplay	1	1.248	1	1
7	112.815	0.352	control-reward	ChosenDisplay		0.0		
7	113.149	0.25	control-reward	TurnDisplay				
7	113.4	0.75	control-reward	OutcomeDisplay				
8	114.152		loss-reward	ImageDisplay1		0.0		
8	116.141	0.75	loss-reward	StartDisplay				
8	116.894		loss-reward	ImageDisplay2		0.0		
8	120.153	1.6	loss-reward	ChoiceDisplay	1	1.37	1	1
8	121.541	0.23	loss-reward	ChosenDisplay		0.0		
8	121.758	0.25	loss-reward	TurnDisplay				
8	122.009	0.75	loss-reward	OutcomeDisplay				
9	122.761		win-noreward	ImageDisplay1		0.0		
9	124.75	0.75	win-noreward	StartDisplay				
9	125.503		win-noreward	ImageDisplay2		0.0		
9	128.762	1.6	win-noreward	ChoiceDisplay	1	1.317	1	1
9	130.1	0.283	win-noreward	ChosenDisplay		0.0		
9	130.367	0.25	win-noreward	TurnDisplay				
9	130.618	0.75	win-noreward	OutcomeDisplay				
