frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	56.41		control-reward	ImageDisplay1		0.0		
0	58.399	0.75	control-reward	StartDisplay				
0	59.151		control-reward	ImageDisplay2		0.0		
0	62.394	1.6	control-reward	ChoiceDisplay	1	0.928	1	1
0	63.347	0.672	control-reward	ChosenDisplay		0.0		
0	63.999	0.25	control-reward	TurnDisplay				
0	64.25	0.75	control-reward	OutcomeDisplay				
1	65.002		loss-reward	ImageDisplay1		0.0		
1	66.991	0.75	loss-reward	StartDisplay				
1	67.743		loss-reward	ImageDisplay2		0.0		
1	71.003	1.6	loss-reward	ChoiceDisplay	1	0.917	1	1
1	71.939	0.683	loss-reward	ChosenDisplay		0.0		
1	72.608	0.25	loss-reward	TurnDisplay				
1	72.859	0.75	loss-reward	OutcomeDisplay				
2	73.611		control-reward	ImageDisplay1		0.0		
2	75.6	0.75	control-reward	StartDisplay				
2	76.352		control-reward	ImageDisplay2		0.0		
2	79.612	1.6	control-reward	ChoiceDisplay	1	0.824	1	1
2	80.448	0.776	control-reward	ChosenDisplay		0.0		
2	81.217	0.25	control-reward	TurnDisplay				
2	81.467	0.75	control-reward	OutcomeDisplay				
3	82.22		win-reward	ImageDisplay1		0.0		
3	84.209	0.75	win-reward	StartDisplay				
3	84.961		win-reward	ImageDisplay2		0.0		
3	88.221	1.6	win-reward	ChoiceDisplay	1	0.901	1	1
3	89.14	0.699	win-reward	ChosenDisplay		0.0		
3	89.826	0.25	win-reward	TurnDisplay				
3	90.076	0.75	win-reward	OutcomeDisplay				
4	90.829		control-noreward	ImageDisplay1		0.0		
4	92.818	0.75	control-noreward	StartDisplay				
4	93.57		control-noreward	ImageDisplay2		0.0		
4	96.83	1.6	control-noreward	ChoiceDisplay	1	0.88	1	1
4	97.732	0.72	control-noreward	ChosenDisplay		0.0		
4	98.435	0.25	control-noreward	TurnDisplay				
4	98.685	0.75	control-noreward	OutcomeDisplay				
5	99.438		loss-noreward	ImageDisplay1		0.0		
5	101.427	0.75	loss-noreward	StartDisplay				
5	102.179		loss-noreward	ImageDisplay2		0.0		
5	105.439	1.6	loss-noreward	ChoiceDisplay	1	0.671	1	1
5	106.124	0.929	loss-noreward	ChosenDisplay		0.0		
5	107.044	0.25	loss-noreward	TurnDisplay				
5	107.294	0.75	loss-noreward	OutcomeDisplay				
