frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	64.548		control-noreward	ImageDisplay1		0.0		
0	66.531	0.75	control-noreward	StartDisplay				
0	67.281		control-noreward	ImageDisplay2		0.0		
0	70.531	1.6	control-noreward	ChoiceDisplay	1	1.219	1	1
0	71.764	0.381	control-noreward	ChosenDisplay		0.0		
0	72.131	0.25	control-noreward	TurnDisplay				
0	72.381	0.75	control-noreward	OutcomeDisplay				
1	73.131		control-noreward	ImageDisplay1		0.0		
1	75.131	0.75	control-noreward	StartDisplay				
1	75.881		control-noreward	ImageDisplay2		0.0		
1	79.13	1.6	control-noreward	ChoiceDisplay	1	1.167	1	1
1	80.314	0.433	control-noreward	ChosenDisplay		0.0		
1	80.73	0.25	control-noreward	TurnDisplay				
1	80.98	0.75	control-noreward	OutcomeDisplay				
2	81.73		loss-reward	ImageDisplay1		0.0		
2	83.98	0.75	loss-reward	StartDisplay				
2	84.73		loss-reward	ImageDisplay2		0.0		
2	87.73	1.6	loss-reward	ChoiceDisplay	1	0.829	1	1
2	88.58	0.771	loss-reward	ChosenDisplay		0.0		
2	89.33	0.25	loss-reward	TurnDisplay				
2	89.58	0.75	loss-reward	OutcomeDisplay				
3	90.33		control-reward	ImageDisplay1		0.0		
3	92.58	0.75	control-reward	StartDisplay				
3	93.33		control-reward	ImageDisplay2		0.0		
3	96.33	1.6	control-reward	ChoiceDisplay	1	0.898	1	1
3	97.246	0.702	control-reward	ChosenDisplay		0.0		
3	97.93	0.25	control-reward	TurnDisplay				
3	98.18	0.75	control-reward	OutcomeDisplay				
4	98.93		control-noreward	ImageDisplay1		0.0		
4	100.93	0.75	control-noreward	StartDisplay				
4	101.68		control-noreward	ImageDisplay2		0.0		
4	104.929	1.6	control-noreward	ChoiceDisplay	1	0.257	1	1
4	105.213	1.343	control-noreward	ChosenDisplay		0.0		
4	106.529	0.25	control-noreward	TurnDisplay				
4	106.779	0.75	control-noreward	OutcomeDisplay				
5	107.529		control-noreward	ImageDisplay1		0.0		
5	109.529	0.75	control-noreward	StartDisplay				
5	110.279		control-noreward	ImageDisplay2		0.0		
5	113.529	1.6	control-noreward	ChoiceDisplay	1	0.755	1	1
5	114.296	0.845	control-noreward	ChosenDisplay		0.0		
5	115.129	0.25	control-noreward	TurnDisplay				
5	115.379	0.75	control-noreward	OutcomeDisplay				
6	116.129		win-reward	ImageDisplay1		0.0		
6	118.379	0.75	win-reward	StartDisplay				
6	119.129		win-reward	ImageDisplay2		0.0		
6	122.129	1.6	win-reward	ChoiceDisplay	1	0.566	1	1
6	122.712	1.034	win-reward	ChosenDisplay		0.0		
6	123.729	0.25	win-reward	TurnDisplay				
6	123.979	0.75	win-reward	OutcomeDisplay				
7	124.729		loss-reward	ImageDisplay1		0.0		
7	126.979	0.75	loss-reward	StartDisplay				
7	127.728		loss-reward	ImageDisplay2		0.0		
7	130.728	1.6	loss-reward	ChoiceDisplay	1	0.86	1	1
7	131.612	0.74	loss-reward	ChosenDisplay		0.0		
7	132.328	0.25	loss-reward	TurnDisplay				
7	132.578	0.75	loss-reward	OutcomeDisplay				
8	133.328		win-noreward	ImageDisplay1		0.0		
8	135.578	0.75	win-noreward	StartDisplay				
8	136.328		win-noreward	ImageDisplay2		0.0		
8	139.328	1.6	win-noreward	ChoiceDisplay	1	0.834	1	1
8	140.178	0.766	win-noreward	ChosenDisplay		0.0		
8	140.928	0.25	win-noreward	TurnDisplay				
8	141.178	0.75	win-noreward	OutcomeDisplay				
9	141.928		control-noreward	ImageDisplay1		0.0		
9	144.178	0.75	control-noreward	StartDisplay				
9	144.928		control-noreward	ImageDisplay2		0.0		
9	147.928	1.6	control-noreward	ChoiceDisplay	1	0.898	1	1
9	148.844	0.702	control-noreward	ChosenDisplay		0.0		
9	149.528	0.25	control-noreward	TurnDisplay				
9	149.778	0.75	control-noreward	OutcomeDisplay				
10	150.528		loss-noreward	ImageDisplay1		0.0		
10	152.527	0.75	loss-noreward	StartDisplay				
10	153.277		loss-noreward	ImageDisplay2		0.0		
10	156.527	1.6	loss-noreward	ChoiceDisplay	1	0.436	1	1
10	156.977	1.164	loss-noreward	ChosenDisplay		0.0		
10	158.127	0.25	loss-noreward	TurnDisplay				
10	158.377	0.75	loss-noreward	OutcomeDisplay				
11	159.127		control-reward	ImageDisplay1		0.0		
11	161.127	0.75	control-reward	StartDisplay				
11	161.877		control-reward	ImageDisplay2		0.0		
11	165.127	1.6	control-reward	ChoiceDisplay	1	0.701	1	1
11	165.844	0.899	control-reward	ChosenDisplay		0.0		
11	166.727	0.25	control-reward	TurnDisplay				
11	166.977	0.75	control-reward	OutcomeDisplay				
12	167.727		control-noreward	ImageDisplay1		0.0		
12	169.977	0.75	control-noreward	StartDisplay				
12	170.727		control-noreward	ImageDisplay2		0.0		
12	173.727	1.6	control-noreward	ChoiceDisplay	1	0.643	1	1
12	174.393	0.957	control-noreward	ChosenDisplay		0.0		
12	175.327	0.25	control-noreward	TurnDisplay				
12	175.577	0.75	control-noreward	OutcomeDisplay				
13	176.327		loss-reward	ImageDisplay1		0.0		
13	178.326	0.75	loss-reward	StartDisplay				
13	179.076		loss-reward	ImageDisplay2		0.0		
13	182.326	1.6	loss-reward	ChoiceDisplay	1	0.558	1	1
