frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	71.522		control-reward	ImageDisplay1		0.0		
0	73.505	0.75	control-reward	StartDisplay				
0	74.255		control-reward	ImageDisplay2		0.0		
0	77.505	1.6	control-reward	ChoiceDisplay	1	0.823	1	1
0	78.355	0.777	control-reward	ChosenDisplay		0.0		
0	79.105	0.25	control-reward	TurnDisplay				
0	79.355	0.75	control-reward	OutcomeDisplay				
1	80.105		control-reward	ImageDisplay1		0.0		
1	82.355	0.75	control-reward	StartDisplay				
1	83.105		control-reward	ImageDisplay2		0.0		
1	86.105	1.6	control-reward	ChoiceDisplay	1	0.477	1	1
1	86.605	1.123	control-reward	ChosenDisplay		0.0		
1	87.705	0.25	control-reward	TurnDisplay				
1	87.954	0.75	control-reward	OutcomeDisplay				
2	88.704		win-noreward	ImageDisplay1		0.0		
2	90.704	0.75	win-noreward	StartDisplay				
2	91.454		win-noreward	ImageDisplay2		0.0		
2	94.704	1.6	win-noreward	ChoiceDisplay	1	0.779	1	1
2	95.504	0.821	win-noreward	ChosenDisplay		0.0		
2	96.304	0.25	win-noreward	TurnDisplay				
2	96.554	0.75	win-noreward	OutcomeDisplay				
3	97.304		win-reward	ImageDisplay1		0.0		
3	99.304	0.75	win-reward	StartDisplay				
3	100.054		win-reward	ImageDisplay2		0.0		
3	103.304	1.6	win-reward	ChoiceDisplay	1	0.947	1	1
3	104.271	0.653	win-reward	ChosenDisplay		0.0		
3	104.904	0.25	win-reward	TurnDisplay				
3	105.154	0.75	win-reward	OutcomeDisplay				
4	105.904		win-reward	ImageDisplay1		0.0		
4	107.904	0.75	win-reward	StartDisplay				
4	108.654		win-reward	ImageDisplay2		0.0		
4	111.904	1.6	win-reward	ChoiceDisplay	1	0.976	1	1
4	112.904	0.624	win-reward	ChosenDisplay		0.0		
4	113.504	0.25	win-reward	TurnDisplay				
4	113.754	0.75	win-reward	OutcomeDisplay				
5	114.504		control-noreward	ImageDisplay1		0.0		
5	116.754	0.75	control-noreward	StartDisplay				
5	117.504		control-noreward	ImageDisplay2		0.0		
5	120.504	1.6	control-noreward	ChoiceDisplay	1	1.43	1	1
5	121.954	0.17	control-noreward	ChosenDisplay		0.0		
5	122.104	0.25	control-noreward	TurnDisplay				
5	122.354	0.75	control-noreward	OutcomeDisplay				
6	123.104		control-noreward	ImageDisplay1		0.0		
6	125.354	0.75	control-noreward	StartDisplay				
