frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	107.629		win-reward	ImageDisplay1		0.0		
0	109.869	0.75	win-reward	StartDisplay				
0	110.621		win-reward	ImageDisplay2		0.0		
0	113.614	1.6	win-reward	ChoiceDisplay	1	1.424	1	1
0	115.051	0.176	win-reward	ChosenDisplay		0.0		
0	115.218	0.25	win-reward	TurnDisplay				
0	115.469	0.75	win-reward	OutcomeDisplay				
1	116.221		control-reward	ImageDisplay1		0.0		
1	118.461	0.75	control-reward	StartDisplay				
1	119.214		control-reward	ImageDisplay2		0.0		
1	122.223	1.6	control-reward	ChoiceDisplay	1	0.726	1	1
1	122.975	0.874	control-reward	ChosenDisplay		0.0		
1	123.827	0.25	control-reward	TurnDisplay				
1	124.078	0.75	control-reward	OutcomeDisplay				
2	124.83		control-noreward	ImageDisplay1		0.0		
2	127.07	0.75	control-noreward	StartDisplay				
2	127.823		control-noreward	ImageDisplay2		0.0		
2	130.832	1.6	control-noreward	ChoiceDisplay	1	0.579	1	1
2	131.433	1.021	control-noreward	ChosenDisplay		0.0		
2	132.436	0.25	control-noreward	TurnDisplay				
2	132.687	0.75	control-noreward	OutcomeDisplay				
3	133.439		win-reward	ImageDisplay1		0.0		
3	135.429	0.75	win-reward	StartDisplay				
3	136.181		win-reward	ImageDisplay2		0.0		
3	139.441	1.6	win-reward	ChoiceDisplay	1	0.635	1	1
3	140.093	0.965	win-reward	ChosenDisplay		0.0		
3	141.045	0.25	win-reward	TurnDisplay				
3	141.296	0.75	win-reward	OutcomeDisplay				
4	142.048		loss-reward	ImageDisplay1		0.0		
4	144.038	0.75	loss-reward	StartDisplay				
4	144.79		loss-reward	ImageDisplay2		0.0		
4	148.05	1.6	loss-reward	ChoiceDisplay	1	0.585	1	1
4	148.651	1.015	loss-reward	ChosenDisplay		0.0		
4	149.872	0.25	loss-reward	TurnDisplay				
4	150.039	0.75	loss-reward	OutcomeDisplay				
5	150.657		loss-reward	ImageDisplay1		0.0		
5	152.897	0.75	loss-reward	StartDisplay				
5	153.65		loss-reward	ImageDisplay2		0.0		
5	156.659	1.6	loss-reward	ChoiceDisplay	1	0.625	1	1
5	157.31	0.975	loss-reward	ChosenDisplay		0.0		
5	158.263	0.25	loss-reward	TurnDisplay				
5	158.514	0.75	loss-reward	OutcomeDisplay				
6	159.266		loss-reward	ImageDisplay1		0.0		
6	161.256	0.75	loss-reward	StartDisplay				
6	162.008		loss-reward	ImageDisplay2		0.0		
6	165.267	1.6	loss-reward	ChoiceDisplay	1	0.515	1	1
6	165.802	1.085	loss-reward	ChosenDisplay		0.0		
6	166.872	0.25	loss-reward	TurnDisplay				
6	167.123	0.75	loss-reward	OutcomeDisplay				
7	167.875		control-noreward	ImageDisplay1		0.0		
7	169.865	0.75	control-noreward	StartDisplay				
7	170.617		control-noreward	ImageDisplay2		0.0		
7	173.876	1.6	control-noreward	ChoiceDisplay	1	0.605	1	1
7	174.495	0.995	control-noreward	ChosenDisplay		0.0		
7	175.481	0.25	control-noreward	TurnDisplay				
7	175.732	0.75	control-noreward	OutcomeDisplay				
8	176.484		win-noreward	ImageDisplay1		0.0		
8	178.724	0.75	win-noreward	StartDisplay				
8	179.476		win-noreward	ImageDisplay2		0.0		
8	182.485	1.6	win-noreward	ChoiceDisplay	1	0.981	1	1
8	183.488	0.619	win-noreward	ChosenDisplay		0.0		
8	184.09	0.25	win-noreward	TurnDisplay				
8	184.358	0.75	win-noreward	OutcomeDisplay				
9	185.093		win-reward	ImageDisplay1		0.0		
9	187.082	0.75	win-reward	StartDisplay				
9	187.835		win-reward	ImageDisplay2		0.0		
9	191.094	1.6	win-reward	ChoiceDisplay	1	0.772	1	1
9	191.88	0.828	win-reward	ChosenDisplay		0.0		
9	192.699	0.25	win-reward	TurnDisplay				
